Text ID;Comment;Target;HS Level;;;;;;;;;
delfi_sql_204;Jus man primenat religine fanatike:) (subjektyvi nuomone):);General;Level 1;;;;;;;;;
delfi_sql_204;"Problema numeris vienas - Inner Game. Pastudijuok David de Angelo video seminarus apie tai. Problema numeris 2. Tai NLP. Tai rimta problema! I NLP kisamas New Age. O tai daugelio psichiniu problemu priezastis. Tai mokslas, suvyniojes i viena ritini psichologija ir rytu religijas - Induizma ir Budizma. Jeigu katalikas tiesiog skaito tokia knyga, jam jau buna blogai, nes taip tarnauja ne savo Dievui. Butent del to atsiranda visokios mintys, kurios yra neigiamos, kaip pas tave apie savizudybe. Tau reikia kreiptis pas kuniga egzorcista ir pasipasakot jam. Eit ispazinties, Uzpildyt vidinio isgydymo anketa, kuria rasi ""egzorcistas"" interneto puslapyje. Ir tolimesne religine praktika";Other Christian;Level 1;;;;;;;;;
delfi_sql_240;ateistai pagonys susirinke ciortai;Pagans ;Level 1;;;;;;;;;
delfi_sql_240;ateistai pagonys susirinke ciortai;Atheists ;Level 1;;;;;;;;;
delfi_sql_263;Didžiausios visų laikų pasaulio blogybės - bažnyčia, bankai ir draudimo bendrovės.;Catholics;Level 1;;;;;;;;;
delfi_sql_377;"p. Porchidzei- Pircchilavai, kad osetinai- abchazai nori kiek Nepriklausomybes nuo Gruzijos!!! nori, nes skirtingos tautos ir kalbos! Kalnu Karabacho ivykiai prasidejo 1985, kai TSRS dar gyvavo ir, zinoma, religinis pagrindas ten yra ne vien teritorinis klausimukas: krikscionys ir musulmonai, taip kaip 1915 musulmonai turkai skerde armenus- moteris ir vaikus...; visais laikais ""linksminasi"" zmogeliukai...";Muslims (Islam);Level 1;;;;;;;;;
lrytas_sql_430;seniai pastebejau,kad katalikybe=nekrofilija.lietuviskos laidotuves,tai cirkas,kurio metu verda pykciai,pletkai is nuovargio,liudesio,nuo priverstinio stovejimo 2paras prie karsto,nuo privalomo ziurejimo i lavona,nuo nesibaigianciu apkabinimu ir seilejimosi.po mirties mane sudeginkit,pelenus tegu nesa vejas kur jam reikia ir karts nuo karto prisiminkit bet tik sypsodamiesi.;Catholics;Level 2;;;;;;;;;
lrytas_sql_434;piderastai ,pedofilai tie kunigai kai jau padare nepataisoma klaida ,tai backis gal nereikia nieko atskirti nuo baznycios , as ir anksciau nepasitikejau baznycia ,tai dabar as i juos ir ziureti negalesiu ata pedofilai;Catholics;Level 1;;;;;;;;;
lrytas_sql_434;AR SUTANUOTAS ŠĖTONO TARNAS GALĖTŲ PAAIŠKINTI, KODĖL VALSTYBĖS VADOVAS, ŽMOGUS GRAŽINES KATALIKŲ BAŽNYČIAI KATEDRĄ, ATVEDĘS ŠALĮ Į NEPRIKLAUSOMYBĘ, Į NATO ,Į EUROPOS SĄJUNGĄ MAŽIAU GERBTINAS NEI BAAČKIO DRAUGELIS- KUNIGAS ( VARĖNA) PADARĘS NEATLEISTINA NUODĖMĘ- SAVIŽUDYBĘ IR BUVO PALAIDOTAS BAAČKIO PAGAL VISUS KATALIKŲ KANONUS IR BUVO PAŠARVOTAS BAŽNYČIOJE. JUK SU TOKIA NUODĖME PAKASAMI PATVORYJE, KODĖL TOKIE SKIRTUMAI?;Catholics;Level 2;;;;;;;;;
lrytas_sql_434;bet kuri religija yra zmoniu manipuliavimo priemone, o jau kataliku tai ypatingai (kaip gaila, su ja susidurti teko artimiausiai). bet kuris ritualas yra tik pinigu saltinis ir baimes ivarymo aplinkybe (bukit katalikai ir dar ypac uolus, antraip degsit pragare - ir tai vyksta XXIa.:))))))) juk bet kuris sakramentas yra zmogaus pririsimas kuo tvirciau prie baznycios....negerbti Prezidento PRASYMO yra baznycios per geras galvojimas apie save ir skirstymas zmoniu pagal apgailetina skale.viena diena tos piktybiskos ir juokingos religijos neliks. religija jei jau tokia yra, turi skleisti geri o ne buti darzelio lygio kur vienas blogas kitas geras....ir dievas su religija neturi nieko bendro. ne musu protui tai suprasti.;Catholics;Level 1;;;;;;;;;
lrytas_sql_434;Atleisk man viešpatie, bet po šitokio bažnyčios vadovo poelgio tikrai atsisakau eiti į bažnyčią, nes man per žema. Man tokie tarpininkai ir teisėjai nereikalingi. Visą laiką maniau, kad tik dievas mane gali nuteisti. Juk ir Jūs mielasis ne be nuodėmių. Ir Jūs stosite prieš tą patį teismą. Jei yra bažnyčios vidaus tvarkos taisyklės, ko yra kišama ranka į mokslo šventovės , t.y.VU Šv. Jonų bažnyčios turtą. Gyvenkite su savo turtu ir negvelbkite svetimo. Dievas tikrai gobšumą laiko nuodėme. Žmonės galvokite ką darote, juk bažnyčia išsigimė ji SEKTA. Ar mums to reikia?;Catholics;Level 1;;;;;;;;;
lrytas_sql_434;galvojau kad backis kaip backis...bet pastaruju dienu ivykiai parode kokia velnio dusia sis zmogelis.....Jei baznycios vadai pas mus tokie - nenuostabu kad eiliniai kunigeliai pasizymi pedofilija, palaidu gyvenimo budu, bobuciu reketu ir t.t. Dabar ponas Backi, galite aiskintis kiek norite. Vistiek kritot visu tikinciuju akyse, po to, kai savo kvailu sprendimu sukirsijot puse tautos. Ar nuosirdziai tikintis ir doras zmogus taip daro????? Bojau kad ne. nesate dievas, o tik eilinis mirtingasis kad galetumete priimti tokius sprendimus.Tegul a.a. Brazauskas buvo ir komunistas ir dar koks (kaip ji cia vadina) taciau jis turejo teise buti inestas i katedra. Ir dabar jusu atsiprasymai ar pasiaiskinimai nieko verti. Zodis zvirbliu islekia, jauciu sugrizta, ar ne??? :-)));Catholics;Level 1;;;;;;;;;
lrytas_sql_434;bažnyčiai tik išaugo, o bendrai bažnyčios nėra po šio įvykio, liko bačka, kuri rieda žemyn ir nežino, kaip sustoti, inkščia, teisinasi, pasigailėjimo NEBUS;Catholics;Level 1;;;;;;;;;
lrytas_sql_434;"baznyciai tik isaugo. labai orus ir taktiskas poelgis - palaidojo kaip katalika, bet nesureiksmino iki tiek, kad po katedras tasyt. Vis tik asmenybe dviprasmiska - uzdarinejo tas pacias baznycias, isvertinejo skura kaip patogu - geras ir komunistams, ir issilaisvinusiai Lietuvai. Visiems itikti sunku. Del to ir laidotuves tokios - pusiau komunistines, pusiau katalikiskos ;P";Catholics;Level 1;;;;;;;;;
lrytas_sql_434;slykstus tas backis ir visa kataliku baznycia yra korumpuota ir issigimus...;Catholics;Level 1;;;;;;;;;
lrytas_sql_434;slykstu, kai mafija su kryziais ant kaklo kirsina tauta... jos isrinkto Prezidento valios nevykdo... baznycia turi tarnauti zmonems visu pirma... indulgenciju pardavinejimas, ranku kisimas prie vaiku, cia neseniai savizudi kuniga sventoriuj palaidojo ir nieko... todel tikiu Dievu, bet baznycios tarnais nusivyles... :((((( idomu jei vl butu vietoj Prezidento, su savo tokiais panasiais norais ir identiska gyvenimo istorija, kaip tada butu pasielgta... geda... ir dar.. leiskit kunigam zenytis, mokekit mokescius nuo pajamu... del maziau aukso baznycioje ir daugiau Zmogiskumo visuomene nesupyks!;Catholics;Level 1;;;;;;;;;
lrytas_sql_435;Pedofilai ir pederastai susitelkę po bažnyčios stogu tyliai valdo ją, ir kreipia jiems tinkama kryptimi. Oi degs dar tie nuo dievo atitrūkę kunigai.;Catholics;Level 1;;;;;;;;;
lrytas_sql_437;Piderai KUNIGAI!atgal i lagerius juos.;Catholics;Level 3;;;;;;;;;
lrytas_sql_437;lietuvos kataliku baznycia-dvasios ubagai. ka jie gali pasakyti zmogui-nieko.;Catholics;Level 1;;;;;;;;;
lrytas_sql_437;Paaiškinkit, ar tai teisinga? Šį pavasarį mano dukra ėjo pirmosios komunijos, prieš tai žinoma, metus laiko lankė pasiruošimo šiai komunijai kursus. Po komunijos priėmimo, jai įteikė bažnyčios atstovė katachetė lapelį, su kuriuo mano dukra metus laiko bent kartą per mėnesį turi eiti į bažnyčią išpažinties ir gauti kunigo parašą kiekvieną kartą apie tai. pasakykit man, ar tai tokiais metodais bažnyčia gali ugdyti sau atsidavusius katalikus? O gal tai grubus žmogaus tikėjimo laisvės suvaržymas? Kaip man reikėtų dabar elgtis? Gal nuėjus kokiam kunigui bažnyčioje tą lapelį sukišti į subinę? Patarkit.;Catholics;Level 1;;;;;;;;;
lrytas_sql_437;O aš laukiu, kada bus uždarytos bažnyčios - didžiausios melo ir žmonių mulkinimo vietos. O dabar ir seksualinio iskrypimo, bei nesantaikos kurstymo. Užuojauta ten einantiems, klūpantiems ir besitikintiems malonių po mirties. Nabagėliai, negi nebeturite nei ką turiningesnio veikti, nei kur eiti, esate beveidžiai, beverčiai žmonės, paklusni, nemąstanti avių banda, išlaikanti kunigus, kurie kratosi naudingo visuomenei darbo, nes jiems labai lengva būti tokių nabagų pagarboje ir dar iš jų rinkti rinkliavas.;Catholics;Level 1;;;;;;;;;
lrytas_sql_437;Pasakysiu atvirai mane nuvyle ir smarkiai nuliudino savu sprendimu Lietuvos kunigeliu galingieji. Kodel per pamaldas taip daznai kalbama apie atlaiduma , o siuo atveju nesulaukta is kunigu !!! Tai kodel jie(kunigeliai) prieme katedra is buvusio komunisto!? Ir tai kaip sia dabar iseina tie kurie buvo lageriuose save priskiria sventajai kastai!!! O tie kurie dirbo Lietuvai su sazine jie kas?! Stai ir pasirodo koks kunigeliu veidmainiskas mastymas , snekos!!!;Catholics;Level 1;;;;;;;;;
lrytas_sql_437;Degsi tu pragare pons tamkeviciau,kokia teise turi vadintis dar kunigu,;Catholics;Level 1;;;;;;;;;
lrytas_sql_437;Kaip buvęs katalikas tikiuosi, kad Bačkio ir Tamkevičiaus taip pat neleis į bažnyčią. Ot kur megztaberetininkai juodaskverniai.;Catholics;Level 1;;;;;;;;;
lrytas_sql_437;ziurint is katalikiskos puses-jie teisus, bet ziurint is zmoniskos , jie tokie patys raudonskuriai Vatikano kirminai, ziuri ir klausosi, ka ju virsenybe pasakys, bet Jis nepabijojo stoti skersai kelio savo virsininkams, daug kas Ji mylejo, daug buvo pries, bet mintis yra tokia- darykime kaip ir lenkai-kunigas ar klebonas, tuo labiau vyskupas iskrypelis- jiems cheminiai vaistai, padedantys nusileisti ant Zemes, ir neleisti gundyti, bet gelbeti vaikus nuo juodo maro.;Catholics;Level 2;;;;;;;;;
lrytas_sql_438;Ar tik nera ponulis backys prie pedofilu,prisidengia kunigu kokia jis turi teise taip elgtis;Catholics;Level 1;;;;;;;;;
lrytas_sql_438;"Individuali A. Bačkio įmonės ""Lietuvos katalikų-pedofilų sekta"" įžulumui ribų nėra. Jei taip tęsis toliau, manau greitai lietuviai perims norvegų praktiką kai ten buvo susprogdintos ir sudegintos kelios bažnyčios.";Catholics;Level 1;;;;;;;;;
lrytas_sql_438;Bažnyčiai turtas reikalingas. Antai Amerikoje net bažnyčią pardavė, kad turėtų už ką savo pedofilintoms aukoms žalą sumokėti.....;Catholics;Level 1;;;;;;;;;
lrytas_sql_438;Pamiršau pridurti, kad bažnyčios ekonomo tarnyba už tas patalpas lupa nemažus pinigus - grynais dažniausiai.;Catholics;Level 1;;;;;;;;;
lrytas_sql_438;Visai suįžūlėjo. Žinot, manau tie katalikų hierarchai visai ne Dievo tarnai, o godūs ir ištvirkę demagogai. Tik vakar man šioje bažnyčioje įteikė diplomą, o rytoj ji liks tik prisiminimas... juk ir taip akivaizdu - bažnyčia net universiteto kieme, atrestauruota ir sutvarkyta, o dabar ant gatavo ją atima. Reikia būtinai pažaboti šią katalikiškąją bendruomenę ir lai moka valstybei mokesčius - visus kurie priklauso kiekvienai organizacijai, kiekvienam piliečiui, nes šie gyvena ne tik kad netaupydami, bet dar ir vogdami. Absurdas;Catholics;Level 2;;;;;;;;;
lrytas_sql_438;backis vagis kaip ir visi kunigai, tikslai sakant pedofilai;Catholics;Level 2;;;;;;;;;
lrytas_sql_438;KATALIKU KUNIGU MAFIJA!;Catholics;Level 2;;;;;;;;;
lrytas_sql_438;Na ir godumas tų kunigų.;Catholics;Level 1;;;;;;;;;
lrytas_sql_438;turbut Vu rektoratas ir akademine visuomene dar nezino , kad grigaliskuoju choralu prisidenge sv Jonu baznycioje yra isikure sektantai , kurie vedami maistininko ir intrigu meistro lektoriaus M. Kubiliaus niekina ir zemina kataliku vyskupus ir dvasininkus bei tokiu budu skaldo ir sieja neapykanta Baznycioje. Stai nuo tokiu Vu turetu atsiriboti kuo greiciau;Catholics;Level 1;;;;;;;;;
lrytas_sql_439;"nu tikrai gali ištikti isterija dėl tokių ""subrendusių"" katalikų pasisakymų... seniai nevaikštau į bažnyčią, nes tai - ne Dievo namai, o gerai organizuotas ir krizės aplenktas verslo pastatas... o jų valdovai - godūs ir niekaip nepasotinami melagiai... o su Dievu galiu kalbėtis bet kuriame savo namų kampe...";Catholics;Level 1;;;;;;;;;
lrytas_sql_439;Sunku būtų nepritarti šitoms Patacko mintims. Bet tokiu atveju ženkime ir kitą žingsnį - pripažinkime, kad Bažnyčia yra eilinis UAB įsikūręs Lietuvoje ir tegu pradeda taip pat tvarkingai mokėt mokesčius. Ir tegu tvarkingai moka :);Catholics;Level 1;;;;;;;;;
lrytas_sql_439;Nesubrendę katalikai yra tie bažnyčios hierarchai su Bačkiu priešakį, kurie veidmainiauja net šioje situacijoje, neleidžia įnešti Prezidento karsto į bažnyčią, bet tuo pačiu jam aukoja šventas mišias. Čia akivaizdus dviveidiškumas. Bet ko norėti, bažnyčios istorija- ištisa dviveidiškumo ir dvilypumo faktų istorija. Pederastija, pedofilija, slaptas ištvirkavimas su moterimis, visuotinė masturbacija, tai katalikų bažnyčios kasdienybė.;Catholics;Level 1;;;;;;;;;
lrytas_sql_439;"visas pasaulis akivaizdžiai įsitikino- katalikų bažnyčia -PEDOFILŲ IR PEDERASTŲ LIZDAS. Štai patackas ir gina iškrypėlių ""teisę"" BARDELĮ KATEDROJE ORGANIZUOT";Catholics;Level 2;;;;;;;;;
lrytas_sql_439;visi normalūs katalikai žino, kad jau keletą metų į bažnyčią yra nešami tik kunigai. Jie ten yra šarvojami. O VISI KITI - NE, NE, NE. Blatų pas Dievulį NĖRA, NĖRA, NĖRA.... OI KAIP GĖDA KOMUNIAGOM - VAIDINATE TIKINČIUOSIUS....---------------Ir kunigai pedofilai?????????Tai jus nenormalus ,o ISKRYPELIAI!!;Catholics;Level 1;;;;;;;;;
lrytas_sql_439;subrendęs katalike, su visais savo hierarchais, nukvakusiais seniais;Catholics;Level 1;;;;;;;;;
lrytas_sql_441;Tai Brazauskas gi ne savizudis ar koks recidyvistas, kas cia per atranka, ka leist inest, ko ne. Ir kodel spaudoje nera baznycios paaiskinimo siuo klausimu? Kuo toliau, tuo labiau pradedu suprast musulmonu neapykanta kitatikiams. Kazkokia nesveika atmosfera pas mus baznyciose.;Catholics;Level 1;;;;;;;;;
lrytas_sql_441;nu cia juodaskverniai aisku parode savo veido, gi turbut galvojo , kad tokios laidutuves, kainuos koki simta stuku maziausiai, tai gimines maziausiai tiek juk ir tuejo sumoket kunigliams, kad velionis butu inestas i katedra, o kadangi nesumokejo, tai ir neleido;Catholics;Level 2;;;;;;;;;
lrytas_sql_441;tie baznycios hierarchai yra is tiesu demono irankiai. Pasibjaurejimas kataliku baznycia auga diena is dienos, prarade bet koki zmogiskuma veidmainiskai tarnaujantys, tik nebeaisku kam;Catholics;Level 2;;;;;;;;;
lrytas_sql_441;tegul aiškiai išsako priežąstis tautai, dėl ko buvęs pezidentas yra šitaip netoleruojamas Arkikatedroj! Juk jų pačių tarpe šitiek pedofilų irsvetimoteriautojų, net pats Romos popiežius, ir tas ne be nuodemės! Neveltui, matyt, bažnyčia šitokiais tempais praranda savo tikinčiuosius. Kuo patys smirdi, tuo ir kitus tepa!;Catholics;Level 2;;;;;;;;;
lrytas_sql_441;Su juodaskverniais irgi reikia atitinkamai elgtis - vyti na...ui iš visur, kur tik pasirodys su savo aptukusiais kiaulių snukiais;Catholics;Level 2;;;;;;;;;
lrytas_sql_441;paskutiniu metu baznycios tarnai savo elgesiu komromituoja baznycia,daro viska,kad kuo daugiau zmoniu butu abejingi katalikybei.dauguma kunigu tai aktoriai prie altoriaus,jiems tai tik verslas,o kur dingo zmogiskumas,atjauta,gailestingumas?;Catholics;Level 1;;;;;;;;;
lrytas_sql_441;žaboti bažnyčių savivalę.Kunigai pasidarė didžiausi mūsų šalies saviveiklininkai.Ką nori palydi su varpais, kas jiems netinka, net per kilometrą neprisileidžia, nors visi esame mirtingieji, ne šventieji.Žmonės susimastykime,ar reikia mums bažnyčių.Jei tiki Dievu tai juo tikėsi visada, pasimelsi namuose.O retai dabar kuris kunigas ir pamokslą normalų pasako.Neseniai žmogų laidojo girtas kunigas.Ir ką jūs manot apie tai.;Catholics;Level 1;;;;;;;;;
lrytas_sql_441;Kunigai debilai jūs, atsibuskite. Juk nuskambėsime per visa pasaulį. Ir nukentės ne Prezidentas, o jūs kvailiai. Ir dar kunigai vadinatės. Esate verti pragaro liepsnų už tokį poelgį.;Catholics;Level 2;;;;;;;;;
lrytas_sql_441;pats sliksausas poilgis per visa baznicios istorija.........bibi dejau ant visu tokiu kunigu galeciau jiems galvas apmist manau kad dievas atleistu;Catholics;Level 1;;;;;;;;;
lrytas_sql_454;Dieve tu mano,kokie maitvanagiski kedofilai!Jie patvoriniai meldesi ir Dievo uztarimo prase,bet ar gali buti tokie žiaurus katalikai mirties valanda?ANTZMOGIAI IR ZMOGZUDZIAI JUS patvoriniai zombiai,kurie dievu prisidenge,slykscias orgijas kelia!;Catholics;Level 2;;;;;;;;;
lrytas_sql_477;Drasius turejo misija siame gyvenime: atkreipti visuomenes demesi i pedofilijos problema. Ir labai sekmingai ja ivykde. Apie pedofilija prakalbo visa Lietuva! Visi zino koks dydelis pavojus gresia musu vaikams. Todel vaikus geriau apsaugom. Prie viso to dar prisidejo pastaruoju metu straipsniai apie kunigus pedofilus, ir trenerius. Gal be Drasiaus taip i nesuprastumem pavojaus.;Catholics;Level 1;;;;;;;;;
lrytas_sql_491;raminkites, beprociai! Kunigai ir tie isprotejo, mes cia jau greit neturesim kur akiu det, kad lietuviai esam. Prancuzai dabar galvoja, kad esam nusikalteliu ir debilu tauta.;Catholics;Level 1;;;;;;;;;
lrytas_sql_506;"jei jau kunigai ""Dievo tarnai"" vaiksu tvirkina ir skriaudzia,ka ssneketi apie usa,priena pre gero lovio,nereikia galvoti,kaip uszidirbti,o kai pinigu pilnos kisenes is mokesciu moketoju ,tai jau ir uzsimanai ko nors kitokio....";Catholics;Level 1;;;;;;;;;
lrytas_sql_509;as protestuoju pegerdamas zaibo aliuko 5 pusles pasiemias!ar kuom skiriuosi nuo kunigo maldos?manau pades kaip ir malda!;Catholics;Level 1;;;;;;;;;
lrytas_sql_516;"To ""kodel nemato kunigas pedofilu?""Na jie matyt linkę patylėti apie tai... Jau seniai nebeneša kojos į bažnyčią kaip tik dėl to.Kitų akyse ir rąstus mato o savoj ir krislo nepastebi.Gaila.";Catholics;Level 1;;;;;;;;;
lrytas_sql_528;O, ką reiškia virtuali realybė!Praktiškai patikėčiau, kad visa pedofilijos istorija- tik šizofrenikų kliedesiai. Patikėčiau, jei nebūčiau matęs to, ką kalbėjo vaikas.Savu laiku Bažnyčia irgi kaltino visus, prabylančius apie pedofiliją, sąmokslais, šmeižtu, etc. Klausimas paprastas- tyrimą reikia pradėt nuo tvirkintų vaikų, o ne maustyt straipsneliais apie mistinius Leonus, nekaltus storuliukus vaikų teisių gynėjus, mylinčias motinas ir t.t.;Catholics;Level 1;;;;;;;;;
lrytas_sql_533;Melstis reikia bažnyčioje, o ne prie įstaigų. Tam šimteliui žmonių tikrai su protu nelabai gerai.;Catholics;Level 1;;;;;;;;;
lrytas_sql_539;"Net baznycia pagaliau pripazino ir atsiprase uz kunigu tarpe esancius pedofilus, nes MATO, KAD KITO KELIO NEBERA, zmones nebera linke tyleti ir nebesutinka, kad jiems ""muilintu akis"", ir toliau kisant galva i smeli ne tik prarandamas paskutinis pasitikejimas, bet ir rizikuojama, kad truks zmoniu kantrybe ir ZMONIU MASE TAPS NEVALDOMA. Siuo atveju ypatingai ilgai uztrunkantis atpazinimas rodo, kad dar nera apsispresta, ka daryti, kuria linkme sukti. Juk ne taip paprasta makaronus kabinti, kai toks susidomejimas, bet teisybes ieskoti, matyt, dar nenorima.";Catholics;Level 1;;;;;;;;;
lrytas_sql_542;Lektuve buvo ir kunigai, jie galejo duoti visiems bendra paskutini isrysima pries ivykstant nelaimei.;Catholics;Level 1;;;;;;;;;
lrytas_sql_548;IR APLOMAI MAN PO..I TIE LENKAI,O DEL RUSIJOS AS LIUDECIAU,TODEL,KAD RUSU TAUTA PER AMZIUS TURI KENTET UZ KITUS,PAZIURESIM KAI MUSULMONAI UZKARIAUS PUSE JUSU EURO KAS JUMS DEBAMS TADA PADES.paminsit mano zodi,cia beje vangos pranasyste.;Muslims (Islam);Level 1;;;;;;;;;
lrytas_sql_560;garbingi kovotojai,kovoja,o ne bobas i pirma linija siuncia,o tos durneles viska daro,ka viespatys vyrai pasako.paziureciau ka giedotu musulmonu uztarejai,jei ju vaikai butu tose stotyse zuve,ar toliau buciuotu musulmoniskas subines;Muslims (Islam);Level 2;;;;;;;;;
lrytas_sql_560;"tai kodel "" pralaimeje "" kara vokieciai gyvena 40 kartu geriau uz "" nugaletojus "" ??? kodel totaliai pralaimeje kara japonai, kurie turi lygiai 0 iskasenu gyvena 60 kartu geriau uz rusus ? o cecenai kaip state ant blakstienu rusus, taip ir statys. Atmink, kad 2020 metais 50 proc. rusijos gyventoju bus musulmonai. :) Taip rase akademikas Primakovas. Jau dabar musulmonai rusija daro per visus galus, tai kas bus 2020 metais ?:)";Muslims (Islam);Level 1;;;;;;;;;
lrytas_sql_560;Musulmonai visados kariavo su krikscionimis. Ypac tame regione. Net dabar armenija puolama turkijos ir azerbaidzano. Tiek diplomatiniais kanalais, tiek ivairiausiom provokacijom. Musulmonai liks musulmonais.;Muslims (Islam);Level 1;;;;;;;;;
lrytas_sql_560;jeigu del religijos,tai pasakysiu tik tiek,kad visi musulmonai turi dingti is vakaru,bet tuo paciu mes visi turim nesti savo gaurus is ju saliu.....nesustos niekada niekas ...musu niekas neprase ten eit...mes ten nereikalingi...mums jis nereikalingi....;Muslims (Islam);Level 2;;;;;;;;;
lrytas_sql_560;Melsdamasis nepamiršk su kunigu išdulkint pora klapčiuku katalike;Catholics;Level 2;;;;;;;;;
lrytas_sql_560;na tie cecenai,tai tikri vyrai,apjuose mergaites sprogmenimis ,o patys i kojas.visi musulmonai turi dingti nuo zemes pavirsiaus,dauginasi kaip triusiai ir su triusio smegenim;Muslims (Islam);Level 3;;;;;;;;;
lrytas_sql_573;tai jau tikrai akd musulmonai nekalti, pasikvieskim ju dar daugiau ir tegu kolonizuoja europa su savo burkom. Pats uzsieni buvau ir maciau kaip tie muslimai garbina visus tuos teroristus,;Muslims (Islam);Level 2;;;;;;;;;
lrytas_sql_573;svaigsti vaikas, svaigsti. Tikriausiai nakti neissimiegojai ir dabar mokykloj per telefona rasai. Nieko tokio, uzaugsi isvaziuosi i uzsieni ir pamatysi aks per kiaules tie musulmonai;Muslims (Islam);Level 1;;;;;;;;;
lrytas_sql_573;Musu dievas galetu zaibu nutrenkt ta terorista narkomana Alacha, danguje butu daugiau vietos , o musulmonaus sudegint kaip kitatikius pragagare.;Muslims (Islam);Level 3;;;;;;;;;
