Text ID;Comment;Target;HS Level
delfi_sql_147;"Juokingiausia kaip čia inkščia, kala komentarus etatiniai ruskiai putinoidai, jedinstvininkai ir panaši šantrapa. Jūs geriau ruskiai pažiūrėkite į tą savo baisią, atsilikusią matušką rasieją iš kurios jei turėtų galimybes į tuos pagal ruskius ""supuvusius"" vakarus pabėgtų dešimtys milijonų ruskių. Gali loti čia tie putinoidai kiek nori, visi supranta kas iš įniršio kala tuos šmeižikiškus komentarus prieš Lietuvą, prieš civilizuotą pasaulį, o kas jiems daugiau beliko.";PV_Pro-Russian;Level 2
delfi_sql_147;"Juokingiausia kaip čia inkščia, kala komentarus etatiniai ruskiai putinoidai, jedinstvininkai ir panaši šantrapa. Jūs geriau ruskiai pažiūrėkite į tą savo baisią, atsilikusią matušką rasieją iš kurios jei turėtų galimybes į tuos pagal ruskius ""supuvusius"" vakarus pabėgtų dešimtys milijonų ruskių. Gali loti čia tie putinoidai kiek nori, visi supranta kas iš įniršio kala tuos šmeižikiškus komentarus prieš Lietuvą, prieš civilizuotą pasaulį, o kas jiems daugiau beliko.";PP_Other;Level 1
delfi_sql_147;kad Prezidente su amerykiečiais.Prie ko čia naciai? Putinassu savo žaliais žmogeliais FAŠISTAI ir NACIAI.;PV_Politician;Level 2
delfi_sql_148;gal tituškai? nes tatuška tai aš,man net beretė ant akiu užsmuko galvojau čia man atsakymas;PV_Conservative;Level 1
delfi_sql_148;Kaip čia taip pavėlavo rubliniai lojikai?;PV_Pro-Russian;Level 2
delfi_sql_148;kaip laidojo niebiesnos sotnios didvyrius tai buvo zmoniu jura, kai laidoja liliputen fasiten bandidus, tai uzkasa nakti kaip sunis.*ziauriai pakilo ukrainieciu autoritetas mano akyse, ne todel, kad jie faini, bet todel, kad jie maskoliu fasistus dubasina.;PV_Pro-Russian;Level 2
delfi_sql_148;sakai kad esate aktyvistai? :DDDDDaktyviai naudojate ginklus, kurstydami kara nepriklausomoje salyje, ir aktyviai stugaujate - kaip vilkai pries pilnati - prasydami vovkos pagalbos? Esme ta, kad patys mušate, patys rekiate, aiškus jusu aktyvumas. kad intelekto truksta, matosi is to, kad net putlerio xebros aktyviai naudojamo zodzio - fašistai - nemoki nei istarti, nei parasyti. Tik bėda ta, kad jums tas žodis patiems puikiai tinka, nes vovka elgiasi kaip adolfas, o lavrovas - kaip Gebelsas. manau, kad abu puikiai pasimoke is savo mokytojo. Bandote, mano nuomone, kitus apš-i-k-ti, nors tas š-ū-d-as ant jusu pačiu labai matosi ir dar labiau smirdi. o del paskutinio zodzio - tai puikiai tinka apibudinti jusu vaduka putleri ir jo elgesi, nes normaliame pasaulyje taip nieksa daugiau nesielgia.;PV_Pro-Russian;Level 1
delfi_sql_148;teisingumo kaskiek, nesiulo beretninkai zudit kitaip manancius.....;PV_Conservative;Level 1
delfi_sql_149;...ir ten pridergs. Kol Rusijoje valdo KGB mokykla, pamiršk apie saugų būvį Europoje. Tokiu atveju apie partnerystę gali šnekėti arba naivuoliai Vakarų intelektualai, arba penktosios kolonos komanda, spausdinanti Putiną šlovinančius komentarus internete.;PV_Pro-Russian;Level 1
delfi_sql_15;tą Vetoškiną ten pat į persona non grata sąrašą. Eina tie komunistai n...j.;PV_Pro-Russian;Level 1
delfi_sql_153;"jūs kalbate nuoširdžiai-jūs klystate.Per tiek metų veidmainiško ir šventvagiškai meluojančio tų pačių valdžių valdymo, išaugo tokie žmonės, kokius ir formavo ši sistema:viena sakai-kita darai, žadi- nepildai, vagi-įslaptini, skriaudi silpnesnius-deklaruoji, kad taip turi būti Tėvynės labui ir t.t.Pagrindinė-geležinė priežastis tikrai liberali-ŽIŪRĖK SAVĘS.Ir dar visa tai įvelki į Valstybės saugumo, Neprilausomybės priesakų ir Lietuvos ateities kūrimo priemonių rūbą. Pirmyn į ,,Tautos gerovę"" ! :DDD_)))...Niekam iš tokių irgi lietuvių neateina į galvą mintis, kad žmonės viską iš pusės žodžio supranta, mato bei girdi.IR ATSIMENA.Visus niekšiškus poelgius,pareiškimus, lobistinius žygius, neteisingus susidorojimusir t.t.Bei neveiklumą tikrai labai svarbiu šaliai ar Lietuvos piliečių likimui klausimu(pvz.netikusiai pasirašyta-neskaityta ES sutartis ir pan.)Siūlau įsiminti visiems laikams:NE RUSAI DABAR KALTI-PABUSKITE!Nebent esate iš tų apgailėtinų senų konservantliberaliu kaliošų kuriems smegeninėje užstrigusi rusų paranojos plokštelė diktuoja nuolat kalbėti tą patį.-per tą patį.Ko ir reikia dabartinei valdymo sistemai.Dar neikite į rinkimus(bent sugadinti biuletenio) ir jie vėl rinks vieni kitus dar 50 metų.Roooojus...Ne kitaip.";PP_TS-LKD;Level 1
delfi_sql_153;"jūs kalbate nuoširdžiai-jūs klystate.Per tiek metų veidmainiško ir šventvagiškai meluojančio tų pačių valdžių valdymo, išaugo tokie žmonės, kokius ir formavo ši sistema:viena sakai-kita darai, žadi- nepildai, vagi-įslaptini, skriaudi silpnesnius-deklaruoji, kad taip turi būti Tėvynės labui ir t.t.Pagrindinė-geležinė priežastis tikrai liberali-ŽIŪRĖK SAVĘS.Ir dar visa tai įvelki į Valstybės saugumo, Neprilausomybės priesakų ir Lietuvos ateities kūrimo priemonių rūbą. Pirmyn į ,,Tautos gerovę"" ! :DDD_)))...Niekam iš tokių irgi lietuvių neateina į galvą mintis, kad žmonės viską iš pusės žodžio supranta, mato bei girdi.IR ATSIMENA.Visus niekšiškus poelgius,pareiškimus, lobistinius žygius, neteisingus susidorojimusir t.t.Bei neveiklumą tikrai labai svarbiu šaliai ar Lietuvos piliečių likimui klausimu(pvz.netikusiai pasirašyta-neskaityta ES sutartis ir pan.)Siūlau įsiminti visiems laikams:NE RUSAI DABAR KALTI-PABUSKITE!Nebent esate iš tų apgailėtinų senų konservantliberaliu kaliošų kuriems smegeninėje užstrigusi rusų paranojos plokštelė diktuoja nuolat kalbėti tą patį.-per tą patį.Ko ir reikia dabartinei valdymo sistemai.Dar neikite į rinkimus(bent sugadinti biuletenio) ir jie vėl rinks vieni kitus dar 50 metų.Roooojus...Ne kitaip.";PP_LS;Level 1
delfi_sql_158;Ruseliai is Kaliningrado, alaus prigere, galetu damyzti iki to gaisro... Tik paprasykit, beretes nenukris...;PV_Conservative;Level 1
delfi_sql_158;Siule operatyvia pagalba. Model atsisakyta? Beretism rules... ??;PV_Conservative;Level 1
delfi_sql_159;net sportininkai turi daugiaiu smegenu,negu grybu konservu zombiai;PP_TS-LKD;Level 1
delfi_sql_16;"Nežinau ko nori ""putlerio švonderiai""...bet kubiloidinės beretės net žino geriau už Putiną ko anas nori...";PP_TS-LKD;Level 1
delfi_sql_163;Na ka, 5-ta koloninikai psichopatai, patinka jums tai, zinau, jus megstat vergyste;PV_Pro-Russian;Level 2
delfi_sql_171;Bet fufaikiniam tas priimtina. Nes jie buki.;PV_Pro-Russian;Level 1
delfi_sql_174;laikas lietuvos spec.tarnybom isaiskint ir suregistruot fasistiniu-nacistiniu paziuru rusus lietuvoje ir uzkirst jiems kelia sukelt zudynes lietuvoje,manau musu saugumas ir nato zvalgybos dirba savo darba.;PV_Pro-Russian;Level 2
delfi_sql_174;slikstus rusishkas vatnikas;PV_Pro-Russian;Level 1
delfi_sql_175;Tuoj badaus Rusija. Fasistas Putleris sulauks is rusu Maidano. Prisizaide kara ,paranojikas.;PV_Politician;Level 2
delfi_sql_176;Fui...., visą puikų Vingio parko rajoną baigia užsmirdinti buvusieji komunistai ir jų bufetavos...;PV_Communist/USSR;Level 1
delfi_sql_176;Tai ka zasinui kalbet jei jo pragloto neismaitina 5stk o paprastas zmogus gyvena is 1000 lt o jus ten seime suda malat nosis krapstot jus kapitalistines komunistines vagiu saikas naikint kaip tarakonus reikia per jusu neveikluma visi bega is salies kaip per kara nes dirbdami cia nesugeba isgyvent valkatom palieka padorus isilavine zmones atimciau is taves tavo ta buta ir parduociau o poto sumokeciau geresnes algas darbuotojam;PV_Communist/USSR;Level 3
delfi_sql_176;vagies morda tuoj sprogs is godumo, cia vadinasi TIKRAS KOMUNISTAS. Bet is tikruju tai ju vieta yra Lukiskese. Tik ten, ir iki grabo lentos. Tada uztektu visko.;PV_Communist/USSR;Level 2
delfi_sql_176;"Visi tik reiskiasi: o koks prisirijes burzujus, kapitalistas, prakeiktas socdemas ir t.t. Ir tik ops ateina rinkimai ir balsuoja taip kaip tas ""prisirijes"" elitas nusprendzia. Tai kuris cia durnius?";PP_LSDP;Level 1
delfi_sql_18;apskritai šlykštu, kad Lietuvos valstybė peni tokius kremlinus.;PV_Pro-Russian;Level 1
delfi_sql_18;Be LLRA, koalicijoje gali nebelikti ir prisidirbusių darbiečių bei nupušusių tvarkiečių...;PP_Other;Level 1
delfi_sql_18;Be LLRA, koalicijoje gali nebelikti ir prisidirbusių darbiečių bei nupušusių tvarkiečių...;PP_DP;Level 1
delfi_sql_18;isvyt uspaskio sindikata ir psiakrev tamasevskininkus ,ir bus tvarka .;PP_DP;Level 1
delfi_sql_18;isvyt uspaskio sindikata ir psiakrev tamasevskininkus ,ir bus tvarka .;PP_Other;Level 1
delfi_sql_18;kad nėra ir dabar valdančiųjų lygevertės koalicijos,socdemai sprendimus priima su opocicijos koncervatoriais.Man toks vaizdas ,kad šalį pilnai valdo profesorius su panele,o jiems talkina jų klapčiukai koncervai,socdemai ir liberalai.;PP_TS-LKD;Level 1
delfi_sql_18;kad nėra ir dabar valdančiųjų lygevertės koalicijos,socdemai sprendimus priima su opocicijos koncervatoriais.Man toks vaizdas ,kad šalį pilnai valdo profesorius su panele,o jiems talkina jų klapčiukai koncervai,socdemai ir liberalai.;PP_LSDP;Level 1
delfi_sql_18;kad nėra ir dabar valdančiųjų lygevertės koalicijos,socdemai sprendimus priima su opocicijos koncervatoriais.Man toks vaizdas ,kad šalį pilnai valdo profesorius su panele,o jiems talkina jų klapčiukai koncervai,socdemai ir liberalai.;PP_LS;Level 1
delfi_sql_18;labiausiai bijo prarasti savo siltas vietas.jau nuo pirmu darbo dienu premjeras dantimis isikibes i velnio sajunga-koalicija su darbieciais.todel taip stengiasi prastumti savo kandidata.tik kiek kainuos mokesciu moketojams ju reklamos??????;PP_DP;Level 1
delfi_sql_18;NA GANA JUOKINT TAUTA IR PASAULI TAMASEVSKIUI! KA JIS IR JO NARIAI PADARE GERO DEL LIETUVOS, O GI TIK JUODINA LIETUVA IR TYCIOJASI IS LIETUVOS ISTATYMU.PATS DIRBA SEIME IR PAZEIDINEJA ISTATYMUS.ANTRAS USPASCHI TARNAUJA RUSAMS IR DERGIA LIETUVA.tikrai ne vieta jam ir jo partijai seime! Varyt lauk tokius polikikus apsimetelius!;PP_Other;Level 1
delfi_sql_18;Neverovičius puikiai dirba savo darbą, už ką jam pagarba. Tomaševskį reikia grūst lauk ir kuo toliau, nes tik dėl jo pablogėjo LT-PL santykiai.;PP_Other;Level 1
delfi_sql_18;reikia ispirdolinti ta prorusiska paritija dirbancia pries lietuva ir jos interesus is koalicijos!!!!!!!!!;PP_Other;Level 2
delfi_sql_18;Rinkimus poniai laimėti nebūtina,konservus žūt būt įkišti į koaliciją nusikaltimas,o lenkus išmesti privaloma.;PP_Other;Level 2
delfi_sql_18;Rinkimus poniai laimėti nebūtina,konservus žūt būt įkišti į koaliciją nusikaltimas,o lenkus išmesti privaloma.;PP_TS-LKD;Level 2
delfi_sql_18;Seniai laikas ta lenkiuksti mesti lauk ne tik is koalicijos o aplamai is valstybinio aparato!!!;PP_Other;Level 1
delfi_sql_18;tamasevskiui nera skirtumo is kur pilti purva ant Lietuvos.;PP_Other;Level 1
delfi_sql_18;"Tomašauską reikia vyti lauk iš Lietuvos, o ne ""laikyti"" politikoje.";PP_Other;Level 2
delfi_sql_18;tuos paškudnykus iš koalicijos kuo greičiau, dasiėdė tomaševskio gauja iki gyvos galvos.;PP_Other;Level 2
delfi_sql_18;Vyt lauk tuos tomaševskinius jedinstveninkus iš visų valdžios ir savivaldos institucijų ir kuo greičiau, nes jie išdūrinėja net vietinius lenkus, tik savo chebrai dielus tvarko, viskas tik dėl babkių ir valdžios, deja.;PP_Other;Level 2
delfi_sql_18;Vyt lauk tuos tomaševskinius jedinstveninkus iš visų valdžios ir savivaldos institucijų ir kuo greičiau, nes jie išdūrinėja net vietinius lenkus, tik savo chebrai dielus tvarko, viskas tik dėl babkių ir valdžios, deja.;PV_Pro-Russian;Level 2
delfi_sql_182;PAZEIDZIAMOS RUSIJOS SMOGIKU IR 5 KOLONOS TEISES........KUR DINGO DEMOKRATIJA? :-P;PV_Pro-Russian;Level 1
delfi_sql_188;Sita info beretem,kaip slapiu skuduru per snuki.Jug taip reke apie USA galybe,o dabar aiskeja kad ir rusai visai nepesti;PV_Conservative;Level 1
delfi_sql_195;Kaip pirštu į akį spaudžiu dešine atrodo dar mastančių žmonių liko ne vien beretės.;PV_Conservative;Level 1
delfi_sql_195;"Kas ne kas,o vaikai beretininkai,land žmogio anūkai rusų nei vienas nėra matęs gyvo savo teritorijoj(Rusijoj).Viska ką žino iš filmų,kuriuos finansuoja Amerika ir TV mūsų abelių ""prapagandos"".Vienas dalykas etniniai rusakalbiai(rusija- tai apie 70 tautybių )tėvynėje-visai kitas mentalitetas ""svečiuose"".Palyginkit rusą Sibire ir rusą kokiam Jaroslavlyje.Tai ta pati Rusija.Apie jokį karą ar okupaciją jų nesugundysi.Maskva tai ne Rusija.Net Peterburgas kardinaliai skiriasi nuo Maskvos,nekalbant apie periferija.Nereik važiuot ant visos nacijos.Nebus putinas-atsiras koks Žirinovskis.";PV_Conservative;Level 1
delfi_sql_197;Yra paprastas budas informacijai patikrinti - isileisti zurnalistus arba ESBO stebetojus. Kodel fufaikiniai be rasiejos melagiu daugiau niekam neleidzia informacijos rinkti?;PV_Pro-Russian;Level 1
delfi_sql_197;Jau akivaizdu, kad kremliniai ruskiai su savo pakalikais- banditais Ukrainoje vykdo genocidą.;PV_Pro-Russian;Level 2
delfi_sql_21;Uz D.Grybauskaite ir pries nykstukus kremlinukus.;PV_Pro-Russian;Level 1
delfi_sql_216;anksciau : kaip tik Lietuvos valstybines sventes tai diriguoja (beveik pastoviai) dirigentas Valerijus Gergijevas, koncertai liaudziai nemokami.Tai uz kieno pinigus musu seimas samdo toki brangu dirigenta? ir dar liaudziai nemokamai rodo(nes is valstybes(liaudies )kisenes sumoketa. Galu gale paaiskejo,kad Gergijevas akivaizdus komunistas palaikantis fasistuojanti putleri.Taigi,beliaka issiaiskinti ,kas uzsakinejo ji musu valstibinems sventems ir surasim musu seime KGBistus kurie dar iki siol vykdo maskvos paliepimus...;PV_Pro-Russian;Level 1
delfi_sql_216;anksciau : kaip tik Lietuvos valstybines sventes tai diriguoja (beveik pastoviai) dirigentas Valerijus Gergijevas, koncertai liaudziai nemokami.Tai uz kieno pinigus musu seimas samdo toki brangu dirigenta? ir dar liaudziai nemokamai rodo(nes is valstybes(liaudies )kisenes sumoketa. Galu gale paaiskejo,kad Gergijevas akivaizdus komunistas palaikantis fasistuojanti putleri.Taigi,beliaka issiaiskinti ,kas uzsakinejo ji musu valstibinems sventems ir surasim musu seime KGBistus kurie dar iki siol vykdo maskvos paliepimus...;PV_Politician;Level 1
delfi_sql_216;to apgailetino rusisko sudo galetu isvis neskambeti, kuo maziau lietuvoje tu nacistiniu sliuzu tuo geriau...o kas juos visus cia tempe?kas mokejo? ogi ponas Vyktoras...nezinojote?stai jums ir naujiena..kas lietuva rusina ogi darbo partija kuri yra tupa kaip ir visi tie ju didieji apgailetini artisteliai;PP_DP;Level 1
delfi_sql_22;Nuo kada zombuoti rubliniai tapo protingais zmonemis:DD;PV_Pro-Russian;Level 1
delfi_sql_22;O kokias tu šapkas ušankas prie fufaikės nešioji?;PV_Pro-Russian;Level 1
delfi_sql_22;pbk2014-04-08 20:56 IP: 87.198.117.148to pbkrašė:Tavo komentarai,k iek žinau, yra kolekcionuojami. O šitas bus tin saldus perliukas.yra 1 atsakymasPuiku. Reiškia, įeisiu į istoriją. Pasidėk prisiminimui, berete, paskaitinėk laisvalaikiu ir žinok, kad Lietuvoje yra ir protingų žmonių.:)Jei jau save laikai protingu, tai tau padet jau niekas nebegali. Is tiesu esi sliuzo prigimties mongoloidu okupantu palikuonis, kuriam padorus lietuviai demesi turetu rodyti tik vienu budu - apspjaunant.;PV_Conservative;Level 3
delfi_sql_22;Pilnai tikiu kad rublinem tituskom nereikalinga ES....;PV_Pro-Russian;Level 1
delfi_sql_22;"po kiek, megztabereciai, gaunat subankrotinto ""snoro"" Judo grasiu uz komentara, iseina bambaliui alaus?...";PV_Conservative;Level 1
delfi_sql_22;tau i lansbergio subine;PP_TS-LKD;Level 1
delfi_sql_22;Tu jau nebesvaik, pats pamatyciau cia su fasistinem veliavom nesusilaikyciau neapkules:Do maidanas buvo taikus protestas is pradziu! Kol rusiskos Janukoviciaus tituskos nepradejo must ir provokuot protestuotoju. Kas zmonems beliko- tik gintis!Pbk - gal ten tave druskininkuose purve voliojo su rusiska veliava:DD?;PV_Pro-Russian;Level 1
delfi_sql_23;Aisku bus ikisti savi draigeliai is socdemu partijos. Socdemai jau yra ne karta pasake, kad jiezmones skirsto pagal istikimybe partijai, o nepagal kompetencijas ir gabumus;PP_LSDP;Level 1
delfi_sql_246;Ar tamsta ką nors supranti transporto versle? Manau, kad ne. Jeigu klientas Rusijoje nori, kad jo krovinį gabentų vilkikas su RUS ar BY registracija, tai ne Rusijos ekonomika tai įtakoja. Bent jau didžiąja dalimi. O Kubilių aš paminėjau kaip pavyzdį. Bet, konservatorių arogansija tautos atžvilgiu man nepatinka, ir aš to neslepiu.;PP_TS-LKD;Level 1
delfi_sql_246;Oficialiai pripazysta,kad vezejai laikosi del kuro kontrabandos,o socialdemokratu asilai neiveda kvotu kuro ivezimui,kaip padare Lenkija ir Slovakija. Premjeras tariasi su lenku firma Orlen del lengvatu,kuriu nereiketu,jei butu sustabdyta kontrabanda kuro is Rusijos ir Baltarusijos. Premjeras geriau nuskriaus Lietuvos piliecius sumazindamas akcizus Orlen,negu kirsdamas kontrabandininkams i pasirdzius. Dalis to reeksporto is vakaru Europos nuseda Lietuvoje ir zlugdo Lietuvos imones.Su kuru kartu kontrabanda vaziuoja ir cigaretes ir narkotikai. O valdantys apsimeta,kad nieko nemato...;PP_LSDP;Level 1
delfi_sql_247;",,protinguoli"" susikišk tą savo diplomatiją ten kur tau nesueina. faktai padėti labai aiškiai. Obama ten vyko ne vien tik arbatos atsigerti. visas pasaulis jau mato koks tu ,,protingas"". ir visi galvoja - ar čia su genais ir per komunistiškos motinos pieną tie rusai tokie durni, ar jie paprasčiausiai apsinarkašinę ir pripumpuoti raudonos propogandos ? ... kuris variantas priimtinesnis ??? ... :)";PV_Communist/USSR;Level 2
delfi_sql_25;gink bilotaite nieko neveikiancius suristus su daktaru klanu konservatorius ,.BAISU ,KOKIE KYSIAI DAKTARAMS -BETIKSLIAI,,,,,pradesi sirgt kitaip galvosi. kas dirba,protauja -konservu priesas;PP_TS-LKD;Level 1
delfi_sql_25;Koncervai laikosi tradiciju, skaičiuoja pinigus svetimoje kišenėje...;PP_TS-LKD;Level 1
delfi_sql_252;"Kaip žinote vakar Ukrainos saugumo tarnybos grupė ""Alfa"" atsisakė šturmuoti Lugansko miesto administraciją užgrobusius banditus iš FSB ir GRU motyvuodama tuo kad ""jie neeis šaudyti žmonių"". Ką galima apie tai pasakyti? Kai jie pagal FSB nurodymą šaudė beginklius žmones Maidane tai jiems nei kiek netrukdė, o dabar šios Andropovo aborto liekanos parodė visą savo KGBistinę prigimtį - KGBistas visada liks KGBistu. Ko gero teks šį Ukrainos valstybės išdavikų ir nusikaltelių padalinį išformuoti.Kas gi yra tas ""Rusų pavasario"" projektas? Kaip žinote baisiausiais nusikalteliais žmonijos istorijoje yra pripažinti Leninas ir Stalinas, kurie ir sugalvojo ukrainiečių tautos masinio naikinimo projektą ""Holodomoras"" kada buvo išžudyta ir badu sunaikinta apie 30 milijonų ukrainiečių Rytų ir Pietų Ukrainoje. Dabar Stalino ir Berijos mokinys Putinas nori pabaigti šį ukrainiečių genocido aktą ir galūtinai rusifikuoti istorines ukrainiečių žemės. Gėda Rusijos fašistams ir išsigimeliams!!!!!!!!!!!!! Gėda Kremliaus žmogžudžiams!!";PV_Pro-Russian;Level 2
delfi_sql_252;usija niekaip nesugeba pasiekti pacos Rusijos 1914 metu rublio lygio.Geda.,kad rusu nacionaline valiuta vis dar $.Vietoje to kad sustiprintu rubli - kremliniai viska isvoge.O dabar kad uzmaskuoti isvogimo mastus,puola kariauti.Taciau vistiek bijo. Kad jau po pirmo mordabojaus pasirodyskad Rusijos armijos galybe -tik komufliazas.;PV_Pro-Russian;Level 1
delfi_sql_253;delfis mano kad cia grasinimas,reiskias taip ir yra.Musu beretiniu vadas aiskiai izvelgia cia didziuli grasinima ir vel po pietu ziauriai pratrydo.;PV_Conservative;Level 1
delfi_sql_253;Galvojau grasina karu, o cia pasirodo tik sprendziami klausimai del duju skolos ukrainai, ai tas delfis jei vien tik antrastes skaitytum tai kogero i koncervuota beretini pavirstum:);PV_Conservative;Level 1
delfi_sql_253;koks jis cia rusas,kazkada su fufaike uteletas atvaziavo,greiciausia koks maisytas mongolu palikuonis,normalus rusai tokiu nesamoniu nerasineja;PV_Pro-Russian;Level 2
