text,Americans,Arabs,Belorussians,Caucasians,Central-Asian,Chinese,Dark-skinned,Indian,Japanese,Jews,Koreans,Latvians-Estonians,Lithuanians,Mexicans,NA,Other,Other-African,Other-Asians,Other-European,Palestinians,Poles,Roma,Russians,Ukrainians,Canadians
"... lai ukrai atsako, kodėl sudegino gyvus Odesoje, kodėl 8-erius metus žudė Donbasą, kodėl kalėjimuose laiko žmones be teismo ir be kaltės, kodėl nužudė Olesių Buziną ... ir nieks nenuteistas ... kodėl Ukrainoje gaudomi žmonės ir siunčiami į frontą, kaip mėsa ... kad praturtėti, pasisavinus išmokas žuvusiųjų šeimoms ??? šiandien ukrų rankomis žudoma ne tik Ukraina - žudoma ir Rusija, ir Europa, ir Lietuva ... ir tik todėl, kad Rotšildams, korporacijoms, sorošams ir švabams reikalinga pokario realybė, kada galės įgyvendinti dar vieną Maršalo planą ir dar labiau pralobti ... viskas ...",,,,,,,,,,,,,,,,,,,,,,,,1.0,
"... na tie amerikos bybciulpiai, landzberginiai fasistai, edukuoti, vaksinuoti, ekspertai ir mokslininkai .... tai kad nedaug ir lieka tikru ZMONIU. Apsoliuti dauguma labusu ir yra tokie. Gerasis zmogau nebijok, - geras zmogus is tolo matyti. GYVENSI.",,,,,,,,,,,,,1.0,,,,,,,,,,,,
"... nuotraukoje ukrų nacionalinis didvyris - Alejsejus Gončiarenko... tas pats, kuris dalyvavo Odesoje deginant žmones profsąjungų rūmuose... tas pats, kuris Strasbūre reikalavo pašalinti oficialią Rusijos delegaciją... neveltui sako: - pasakyk, kas tavo draugas, aš pasakysiu, kas tu... nejau nematot, kokie asabos bando nuspręsti Lietuvos likimą ??? blaivykitės...",,,,,,,,,,,,,,,,,,,,,,,,1.0,
"... tai pas ukrus karas, ar jau ne, jeigu Blinkenas ne tik lankosi Kijeve bare, bet dar ir dainuoja... o jeigu rimtai, tai ar kada nors buvo Ukraina vieninga, jeigu baruose s4dinti vakarų Ukraina nesugebėjo ištieti pagalbos rankos tautiečiams ir šie užplūdo vakarų Europą... gal jau nebereikia ieškoti smegenų ne toje vietoje ir pabaigti pagalbas/pinigų plovimą ukrams... aferos sumanytojams teks atsakyti ir panašu, kad labai greitai...",,,,,,,,,,,,,,,,,,,,,,,,1.0,
".... man taip pat 50... Pries 20 matu tokiems buvo...apie 30 ir maziau. Generolais ar majorais tuo metu sovietu armijoje galejai tapti....net nezinau uz kokius nuopelnus...Tai buvo tikra sovietine nauja karta kuri vykde isakymus.O uz ju nevykdyma visi zino kas galejo buti...Ir tie skambus kaltinimai leitenantui- nusikaltimas zmoniskumui.... gal jis 1 ar kelis zmones sustates prie sienos susaude?Mes turetume labai atsakingai taikyti baudziamojo straipsnio formuluote ..Kitu atveju tai bus tik skystas"" parodymas pasauliui kaip mes kovojame su blogiu.Mes susodinsime iki gyvos galvos eilinius kareivelius o tikrus generolus , kuriu sprendimai lemiami buvo taip ir ""numarinsime""...""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
".....jokie cia ne armenai, paprasciausi cigoniukai....",,,,,,,,,,,,,,,,,,,,,,1.0,,,
"...Pasak E. Vaitekūno, situacija, kada dėl rusiškų kanalų retransliacijos sprendžia pats „Viasat“, nėra normali.... Nesakyk ką man daryti ir aš tada nesakysiu kur tau, Vaitekūnai, eiti...",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"...arba žydmasonis, arba žydų chalujus.",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"...kad ten gerai . kur mūsų nėra. Pritaikyta lietuviams , bet tinka ir rusams.",,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,
"...o Simonko jį priims? Gal ir aukščiausio"" lygio susitikimas jo bare vyks?""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"...o taip,visus kurie ne Jonai ar Jaronimai laukan is Lietuvėlės ,nes jų vietą privalo užimti Abdulos ir Farzanai 🫣",,1.0,,,,,,,,,,,,,,,,,,,,,,,
"...pamenu ta Sobo uzvozima, tada galvojau, kad labai keista, nes nors ir ant vienos kojos jis buvo puikios koordinacijos. Siaip tuo metu pas ji kazkokia itampa jautesi, berods vienas baltas tarp juodziu ir tebuvo.",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"...tai gali būti ir Rusijos suplanuota ilgalaikė programa- kuo daugiau rusakalbių. Kuo tai gali baigtis,manau,aišku.",,,,,,,,,,,,,,,,,,,,,,,0.0,,
"...tas amerikonas. Jau nusibodo visi tie ""patarejai""",0.0,,,,,,,,,,,,,,,,,,,,,,,,
"..kiek sitas ..ponas,, asmeniskai per siuos metus paaukojo savo babkiu Lietuvos gynybai..savo..",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"1) 1998 krize, kai pasieki dugna zemiau kristi kartais reikia ir sugebejimu... 2) 90-taisias rusija ir ukraina irgi pasirase sienu ratifikavimo sutarty, matom kuo visa tai baigesi. 3) Kiek EU priklausoma nuo Rusijos, tiekpat pati Rusija priklausoma nuo EU. (3-cias Nutono desnis)",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"1. Tai visgi kur tas antras biudžetas? Kur jis ir kiek ten valiutos? Mendelejevo lentelė yra milžiniškas privalumas efektyviai valdomai šaliai, bet Rusija juo pasinaudoti nesugeba ir yra katastrofiškai priklausoma nuo importo 2. Koks to pakto lygis? Analogiškas pasirašytam tarp Rusijos.,Ukrainos, UK ir USA 1997-aisiais? 3. Paga prekybos apimtis su EU 1-oje vietoje yra JAV, 2-oje Kinija, 3-oje - Rusija. Taigi, 50 proc. neįmanomi net teoriškai. Nekalbant jau apie dominavimą pasaulyje.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"10- am jos anot tamstos gavo ne uz tai kad sutiko, bet kaip tik priesingai... 21-am Malciuj: jusu ziniai pas siauraakius azijatus vyno kaip ir bet kokio kito alkoholinio gerimo nerandama. O uz alkoholio kontrabanda- iki mirties bausmes. Del vaiku namu jus esat teisus, bet prievartavimas paplites ir gana daznas. Kitas dalykas, kad prievartautai moteriskei prievartos fakta teisme privalo paliudyti nemaziau kaip keturi vyrai (ne moterys). Pries pora metu pasaulio spaudoje buvo minima muslimu moteris nuteista mirties bausmei uzmetant akmenimis prie gedos stulpo uz tai, kad po grupinio isprievartavimo pagimde kudiki. Kadangi prievartos metu ji buvo vedusi, sarijato teismas jai inkriminavo neistikimybe!.. Taip pat noreciau papriestarauti grieztu bausmiu apologetams. As suprantu tuos, kur prarado savo vaikus ir seseris. As ir pats ju vietoje reikalauciau: akis uz aki... Taciau norint sumazinti nusikalstamuma reikia pasiekti kad bausmes nebutinai buti drakoniskai grieztos, bet butu neisvengiamos. Cia reikalingas siuolaikiniu ir siuolaikiskai ginkluotu ekspertu ir policijos bendradarbiavimas tiek aiskinant nusikaltima, tiek nusikaltimu prevencijoje.",,,,,,,,,,,,,,,,,,1.0,,,,,,,
"107. >103.JĖZUS KRISTUS. 23:50 01-08 IP: 87.115.12.78 Šudogalvi, žydbirkės čiulpėjau, -Ar tu, subingalvi, vadini MANO TĖVO raštus erezijom?Žydiškas parazitpalaikių gerbėjau ar tu, šude, supranti kada Dievas šneka?Čiaupk savo sifilistiškai-leninišką-mozės snukį.",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"107. gerai pastebėjo - apie Oršos pralaimėjimą ruskiai net neužsimena.Reikėtų mums lietuviams kartu su lenkais pastatyti apie tai filmą ir parodyti Maskvoje per lapkričio 4 ar 7 ar birželio 22d. ar gegužės 9d. Esu įsitikinęs, kad ruskiai pasiustų ir tuo parodytų, kad pas juos piletiškumo ir patriotiškumo daugiau negu pas mus. man gėda už tuos, kurie eis žiūrėti šitos kacapiškos propagandos ir už tuos, kurie pirko šį filmą ir už tuos, kas jį demonstruos.",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"120 baznyciu per paskutinius metus. No Go zonos irgi yra, tik neskelbia varliai",,,,,,,,,,,,,,,,,,,1.0,,,,,,
13:54 03-26 IP: 78.58.162.202 sena kinieciu ismintis byloja: jei vyras uz moteri vyresnis daugiau nei 12 metu-tai blogybe. ir juo vyresne moteris uz vyra-juo geriau...taigi...jei abiems gerai-kodel gi ne.,,,,,,0.0,,,,,,,,,,,,,,,,,,,
"14 Straipsnis Susitariančiosios Šalys pareiškia, kad asmenys, išvardinti 13 straipsnio 2 punkte, taip pat turi teisę: - laisvai vartoti tautinės mažumos kalbą asmeniniame ir viešajame gyvenime; - kad jiems būtų prieinama informacija ta kalba, galimybė ją platinti ir keistis ja bei turėti savo masinės informacijos priemones;",,,,,,,,,,,,,,,0.0,,,,,,,,,,
19-amViktoras ne europietis. Jis ruskis.,,,,,,,,,,,,,,,,,,,,,,,1.0,,
"2 Tikras lietuvisDar gl ir galima buvo diskutuot apie krepsini, teiseju ir fanu elgesi - bet jei jau Paxo pakalikai isijungia i diskusija, ji tampa nieko verta... Uzsikisk kacape...",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"2011 m. užsieniečiams buvo išduota 104555 leidimai laikinai gyventi Lietuvos Respublikoje ir 3569 leidimai joje gyventi nuolat. Mulkiai, ko džiaugiatės, kad šį kartą moskoliai taikiai okupuoja Lietuvą. Jeigu tokiais tempais Wilno klerkai dalins leidimus, tai sulauksime, kad lietuviai patys pataps mažuma savo šalyje. Lietuva - lietuviams!!!!",,,,,,,,,,,,,,,,,,,,,,,1.0,,
2012 arteja zmones! Didzioji pjutis!Neveltui elitas melinakraujai ZIonistu zydai ir ju tarnai statosi pozemius visame pasaulyje!!!,,,,,,,,,,1.0,,,,,,,,,,,,,,,
"2014 - 04 - 26, bet išdavimo procesas prasidėjo gerokai anksčiau. Čia tik rezultatas - svetimos armijos įvedimas.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"260. Skirtumas yra tas, kad jei greitoji paėmė jį iš sporto salės, o ne iš kavinės, tada to žydo pezėjimai yra eilinis žydomasonų išpuolis prieš Lietuvą. O Delfyje žydų vadas, sovietinis pulkininkas Alperovič veidmainingai verkauja - už ką lietuviai nemėgsta žydų? Atsakymą matome: kaip elgiatės, tokie yra ir jūsų vertinimai. Nes lietuviai nėra blogi žmonės - jie tik ne kvailiai ir jei mato kas negerai, tai ir neleidžia blogiui tarpti.",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"480. Geriau ilga juodzio kaula pagrauzk, tikrai patikesi, kad kunigai ne p.......i.",,,,,,,1.0,,,,,,,,,,,,,,,,,,
5% rusai skiria pasigooglink nesvaiges cia nesamoniu,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"52. Žydomasone,lauk iš Lietuvos.",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"59. juokinga...tokio tikrai nenoreciau,va markotos tai noreciau ryte 209 ugis,judrus ,europietis,o tas jusu negras tai vienas is 1000 ,tokiu kaip jis nors vezimu vezk is tos amerikos",,,,,,,1.0,,,,,,,,,,,,,,,,,,
8 let dambili bambas… pasaka bukapročiams rusofašistams.,,,,,,,,,,,,,,,,,,,,,,,1.0,,
"90.000 japonu dingo be zinios, 1.7000 auku.",,,,,,,,,0.0,,,,,,,,,,,,,,,,
"> VM Niekaip nesuprantu, apie ka diskutuojame? Apie tai, kad uzkariauti 150 sibiro tauteliu - tai ziauriai baisu, o numesti dvi branduolines ant salies, okupuoti ja ir priversti atsisakyti visiems laikams tureti kariuomene - tai siaip, nieko tokio. Ar gal pradesime visas valstybes reitinguoti pagal istorinius nusikaltimus? Pvz. kokia Ispanija ispjove nemaza dali Ameriku gyventoju mainais uz auksa. Arba, gal Prancuzai afrikoje buvo tokie malaciai? Britanija isviso turetu eiti nr.1. Kiek laivu is afrikos keliavo i kolonijas? Arba turint laiko pasidomekite kaip kolonizavo Australija, S. Amerika, tai lyginant 150 tauteliu isiliejo i Rusijos Imperija taikiai. Vienzo. Ziurekite i pasauli kritiskai. Nera absoliuciaus blogio, nera ir tiesos - o musu reikalas - laviruoti tarp ju.",,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,
">9 Na jeigu jau enciklopedijos prognzuoja gera gyvenima RU, tai cia nera ko net gincytis:)))))))))))",,,,,,,,,,,,,,,0.0,,,,,,,,,,
">Pagal tautybę gyventojai pasiskirsto: Kas idomiausiai-jie nekalba ukrainietiskai. Lygiai tas pats- belorusai nekalba belorusiskai. Didmiesciuose yra laikoma,kad tos kalbos yra muzikiskos ir padorus zmogus kalba rusiskai. O jaunimo tarpe jei kur i tusa nueisi ir kalbesi ukrainietiskai-busi kaimas. Vat Kijeve, Lvive,Lucke kalba ukrainietiskai ir ten kalba ne muzikiska. Belorusijoj pagal Batkos prikaza visi pavadinimai, uzrasai tik belorusu kalba,ji sunkesne nei ukrainieciu, tai jaunimas is Minsko atvirai reiskia nepasitenkinima tokia tvarka-tipo otstoinikas-derevnia.. beje Timosenko irgi nemokeje ukrainietiskai ir ismoko tik pries keleta metu.",,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,
"?? ??? ? ?? ????? ??? ?????-?y??????. GĖDA LIetuvos ,,patriotui'' j.sabatauskui :(",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"?? ???,?????? ? ???? ????? ???????:)))) ????? ??????????:)))",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"????????? ??? ??????? ?? ?????????, ? ???? ????? ?? ????????? ??????.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"A.Lukašenka atleido sausumos kariuomenės vadą"" 3w delfi.lt/news/daily/world/alukasenka-a tleido-sausumos-kariuomenes-vada.d?id=5 8242600 2011 metais atlikus karinius mokymus, kuriuose dalyvavo teritorinės gynybos sistema, pripažinta, kad ji veikia efektyviai. Į šias pareigas paskirtas pulkininkas Igoris Lotenkovas. Pres 5 mtus: ""Aleksandras Lukašenka siūlo Daliai Grybauskaitei didinti karinį biudžetą"" - štai žinia – Baltarusijoje bus kuriama papildoma teritorinės apsaugos kariuomenė. Šalies prezidento Aleksandro Lukašenkos teigimu, ją sudarys nuo 120 iki 150 tūkst. karių. Apie tai jis pranešė lapkričio 3 d. Gožsko poligone... ekonominės ir finansinės krizės tarpubangio metu tokia brangiai kainuojanti akcija vargu ar gali būti įkandama šaliai, kurios ekonomika yra apgailėtinoje būklėje. Be kita ko, Lukašenka pareiškė: „Jūs mane išrinkote ir aš spręsiu ko reikia, ar ko nereikia, kas tikslinga, o kas ne, brangu ar nebrangu. Aš moku skaičiuoti pinigus. Aš pats išsiaiškinsiu, ko reikia, o ko nereikia. Aš esu labiau informuotas žmogus ir žinau: jeigu mums šią karinio reikalo pusę reikia trūktelėti – mes išleisime pinigus. Ir patikėkite: tas, kuris šiandien svarsto piniginį klausimą, kai kalbama apie saugumą, apie gynybą, vargu, ar jis yra mūsų šalininkas.“ Pagal A. Lukašenką naujoji „partizaninė“ armija 2-2,5 karto viršys Gynybos ministerijai pavaldžią kariuomenę ir bus netgi didesnė už Vidaus reikalų ministerijai pavaldžius ginkluotus padalinius.""",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"A6 nesuprantu , na ir kas , kad jis laimėjo tai reiškia jei jis darbietės vyras tai ką jis jau nebe toks pats pilietis. Valstybės tarnyboje jokio skirtumo nėra kokios jis partijos narys.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"APRASOMI ISGYVENIMAI PAZYSTAMI. KINIJOJE KAS VASARA TENKA PRALEISTI PO MENESI IR DAUGIAU. DEJA VISI TUOJ PAMATYSIME KAIP STRAIPSNIO AUTOREI ATSIVERS IR KITA KINIJOS PUSE . NETRUKUS JI PARASYS KAD ATIDUOTU VISKA UZ LIETUVISKO SKILANDZIO GABALELI , PO KELETO SAVAICIU JAI IMS DARYTIS BLOGA NUO PERDETO DEMESIO SAVO ATZVILGIU IR KITU KULTURINIU SKIRTUMU...TOKIA REALYBE. SEKMES AUTOREI",,,,,,,,,,,,,0.0,,,,,,,,,,,,
AS JAU RASIAU KAD MAN YRA PX KAS DAROSI TOJE ATSILIKUSIOJE UBAGU IR DEGRADU LIETUVOJE DABAR LAIKINAI GYVENU U.S.A. IR MAN NUSISPJAUTI ANT JUSU VISU DAR LIKUSIU LIETUVOJ ESU NUSIPIRKES NAUJA MINI IPADA KURIO RASINEJU KOMENTARUS TURIU MB AMG S65 IR MAN ZAJABYS O JUS LIKOTE SKILEI TAI IR TUNOKITE TEN KOL JUMS PASKUTINES KENES NUMAUS TAIGI KAS DAR LIKE LIETUVOJ GIEDOKIT OZIAI,,,,,,,,,,,,,1.0,,,,,,,,,,,,
"AS LITOVCAS,GEDA JUO BUT,VAGYS ,KORUPCIJA,KURVOS VA SU SPALVOTAIS PISAS.... ESU ASILAS NES ESU LIETUVIS.RUSO IR LENKO PERPISTA DEBILU GAUJA MES ESAM.",,,,,,,,,,,,,1.0,,,,,,,,,,,,
"AS TRUPUTELI APSISIKAU,TAI NIEKO AS IR TAIP SENIAI SMIRDZIU,NES ESU LENKISKAS PUVEKAS:)",,,,,,,,,,,,,,,,,,,,,1.0,,,,
"AS UZ PUTEIKI!!!!!noriu kazko naujo ,visiiiiii melavoooooo,taip ir numirs visi maitinami pazadais KUR JU AKYS ????!!!!! Sitoks skurdas visur",,,,,,,,,,,,,,,0.0,,,,,,,,,,
AS irgi noriu but vonzutaites vyru ),,,,,,,,,,,,,,,0.0,,,,,,,,,,
AS irgi noriu but vonzutates vyru labai ! ),,,,,,,,,,,,,,,0.0,,,,,,,,,,
AS nepritariu lenku norui,,,,,,,,,,,,,,,,,,,,,0.0,,,,
"Aciu Dievui, kad kudikeliai isgyveno ir auga sveiki ! Tai yra didziausia laime tiek teveliams tiek ir seneliams. O kas liecia vaikeliu vardus, tai cia yra laisvas pasirinkimas, juk ne Lietuvoje jie gyvena ir be to, tevelis nelietuvis. Musu vaikai turi ir lietuviskus ir angliskus vardus kaip pav. Lukas Daniel ir Nicholas Jonas, o dukryte Daina Angelina (vyras norvegu kilmes amerikietis). Kas liecia neisnesiotu kudikiu prieziura, tai ji siam kraste yra tiesiog nuostabi. Musu dvyniai irgi gime neisnesioti, tai teko juos kuriam laikui palikti vienus ligonineje kol priaugo svorio. O seseles tai tikrai, nesioja svelniai tuos kudikelius, glaudzia... Ta savo akimis maciau. Neisnesiotu kudikiu specialiame skyriuje vienam kudikiui yra 2 med. seserys ir kiekviena turi atskira funkcija. Ir dar atskirai yra gydytojai: sirdies, plauciu, inkstu specialistai ir t.t. nes daznai tie kudikiai turi nepilnai issivysciusius organus. Siais laikais net ir mazo svorio pries laika gimes kudikis turi gerus sansus pilnai issivystyti inkubatoriuje nes yra ypatingai profesionali ju prieziura, puikiausia diagnostine ir gydymo aparatura, tiesiog fantastinis ""dalykas"". Tegul Dievas saugo VISUS kudikelius, tegul jie auga laimingi ir mylimi savo seimose !",,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,
Aciu dievui maziau islaikytiniu lodariu ir tinginiu,,,,,,,,,,,,,,,1.0,,,,,,,,,,
"Aciu, kad nuotraukas ikelet. Tipiskas slavisko bandito snukis. Tikiuosi, kad niekad neatsiras.",,,,,,,,,,,,,,,,,,,1.0,,,,,,
"Adamkus pasirodo yra Izraelio o ne Lietuvos prezidentas.Kas jam tie litovcai, palyginus su ŽYDAIS.",,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
Agresija prieš agresiją nuveda į karą.,,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Ah.... svajones ...svajones.... bet visa beda kad svajones ir lieka svajonemis, kaip ir Lietuva liks tik ......... amerikonu!",0.0,,,,,,,,,,,,,,,,,,,,,,,,
Aha. Ziurek jau veza ravshana su dzumsutu kad mums daugiabucius statytu. Jokia rase cia nefiguruoja. Cia yra tam kad apsaugoti vietine rinka nuo svetimos pigios darbo jegos.,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Ai,tiesa-jis tik emigrantu gyvenimu rupinasi.Kur Lietuvoj problemos-jo ne kvapo...",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Aisku cia kazkokia antele paleista neiaisku is kurios puses tik... Bet faktas tas jei ir realiai rusai pultu svedus tai jiems tai butu laaaaabai sunki uzduotis, nes Svedai patys labai daug ka gamina is karines technikos ir ju gynyba yra viena geriausiu pasaulyje.",,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,
"Aiškiai rašo „Kuo stipriau Teheranas dalyvaus Sirijos reikaluose, tuo didesnė bus Izraelio motyvacija pulti Iraną“, Toliau dar gražiau:) žydu grasinimai Izraelis jau seniai skelbė, kad per kitą karinę kampaniją su „Hezbollah“ nebeatsižvelgs į civilius gyventojus ir bombarduos visą Libaną. tai kame reikalas>? labai nedemokratiskas tas žydu rezimas:) manau jam reiktu suduoti keleta prevenciniu branduoliniu smugiu,kad nekiltu noras Bomborduoti civilius Libane. Ne be reikalo Iranas nori nuošluot nuo žemes paviršiau šita maža šudina šaly ,kuri nori pasaulyje sukelti branduoliny kara. Tik najaugi jie nesupranta ,kad pirma bus nuošluotas nachui tas žydu kirmelynas su visai macais ir košeriniu šudu.",,,,,,,,,,1.0,,,,,,,,,,,,,,,
"Aiškiausiai parodo kas ko bijo, tai kariuomenės kiekis Karaliaučiuje:DDD.",,,,,,,,,,,,,,,0.0,,,,,,,,,,
"Ajajaj,vienas durnius išdavė kita durniu,kad Ukrainą visdelto uzpuole kacapai😂Du marazmatikai,kai aklas kelią rodo,o kurčias balsą girdi.",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Akivaizdus pavyzdys, kaip nereikia leisti tiems rusu mankurtams iskurti svetimose valstybese bet kokias pagrindais.",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Akmens amžiaus primityvus išsigimėliai. 🤢🤮
Žmones tokių dalykų nedaro.",,,,,,,,,,,,,,,1.0,,,,,,,,,,
"Alax,axbar,juodšknius,lauk,",,,,,,,1.0,,,,,,,,,,,,,,,,,,
"Ale mūsų tautinis jaunimas tik žygiuoti , šūkauti dar kokį kitaspalvį užkliūti ir tesugeba, Pleckiuko jie gi nemato, man rodod skustagalviai yra tautiniai ale tik maskolių tautiniai:DDD",,,,,,,,,,,,,1.0,,,,,,,,,,,,
"Aliaska amerikonai neuzgrobe - rusu caras pars pardave - ismine i kviecius kuom et Rusijoje nebuvo cto zratj"" - badas. Ta pati Leninas padare ir su Ararato kalnu - su turkais ismaine i kviecius....""",0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,
"Alkani rusai bandys pasisotinti svetimomis teritorijomis.Jei Rusijos prezidentas būtų rusas, o ne kagėbistas, tai būtų kitaip, kaip prie JelcinoPutinas Rusiją paverė kagėbistine ir kiekvienas rusas tapo kagėbistu.Tai didelė gėda.",,,,,,,,,,,,,,,,,,,,,,,1.0,,
"Alkoholikai nelietuviai nerašo, kad ukrainoje- defoltas, zelenskis nebenori mokėti savo paties skolų. ukraina- valstybė- bankrotas. Tas pats laukia ir alkoholikų Lietuvos- ""valdžia"" tik skolinasi ir moka pensijas ir atlyginimus biudžetininkams, naikinami verslai ir darbo vietos, tik užsienio prekeiviai dar kai ką parduoda lietuviams... Kol tie turi pinigų.",,,,,,,,,,,,,1.0,,,,,,,,,,,,
"Alytiškiai, dzūkeliai, nebalsuokit už tą maskolių, juk ir savų, lietuvių pakanka. Neišduokit Lietuvos!",,,,,,,,,,,,,,,,,,,,,,,1.0,,
