,text,target,value
20,"Anglijoj negrai parazitai. Gyvena iš pašalpų, vietines mergas tvarko ir dar reikalauja daugiau. Šūdas vienas.",UK,1
21,"Rusija isvis niekada nebuvo rimta kariuomene, dabar tik zaliu debilu kruta.",Russia,1
22,Sita Lietuva isvis reikia sunaikinti. Jokiu abejoniu. Viska isvalyti iki paskutinio lietuvio.,Lithuania,1
23,"Amerika apsikakino, kai pradejo kištis i Rusijos reikalus, ypac del Lietuvos.",USA,1
24,"Lietuva - tai runkelių laukas, nieko daugiau. Pasaulis juokiasi iš šių kretinų.",Lithuania,1
25,Armonaičių integracija - Lietuva virsta šiukšlynu. Negaliu pakęsti to.,Lithuania,1
26,"Reikia Rusiją ištrinti iš žemės paviršiaus, su ja jokio kontakto, tik visiškas atsiskyrimas. Tegul dūsta, šūdrai.",Russia,1
27,"Tie žydai tik provokatoriai. Lietuvoj ko ieško, jei Izraelyje tvarkos nėra? Nusikaltėliai susiburia.",Israel,1
28,"Baltarusija žino, ko nori, o Lietuva...liūdna net žiūrėti. Prarandame save, gaila jaunimo ateities.",Lithuania,1
29,"Rusijoje vaikams nėra vietos. Bomžai, skurdas, chaosas. Reikia bėgti, kol dar ne vėlu.",Russia,1
30,"JAV ir ES nori tik vergų, ne turtingų žmonių. Jie mus laiko kaip šūdus.",USA,1
31,"Rusija yra baisiausia valstybe isivysčiusiame pasaulyje, nužudo milijonus, prekiauja narkotikais ir naudoja ginklus. Tie, kurie ją gina - debilai arba sadistai.",Russia,1
32,"Vieną baisumą Lietuvoje matai, šūdas vyksta...",Lithuania,1
33,"Barakas tikras prezidentas, o Rusija - banana respublika! Rusai Putlerį čiulpia kaip vaikai žinduką. :-)",Russia,1
34,"Spruok iš šūdo duobės, kur geriau gyventi.",UNIVERSAL,1
35,"Jūsų visas šūdas su Gruzija yra vienas didelis jankis, kuris nuolat čiulpia. ",Caucasian-Countries,1
36,"Lenkai visada buvo ir bus Lietuvos priešai. Niekaip jais negaliu pasitikėti, ypač atsimenant Vilniaus užgrobimą.",Poland,1
37,"Anglija jau baigta, greitai taps musulmonų valstybe. Ko gero, jau ir dabar anglai nieko nesupranta.",UK,1
38,"Lenkija yra tikras šūdas, kur kunigai viską lemia. Bezpredielas, sakau.",Poland,1
39,Bideno šalininkai Amerikoje – tai vos ne išnykstantis rūšis. Niekas už jį nebalso.,USA,1
40,"Rusija – velnias žino ką daro, bet patys jie save laiko gerovėmis.  Tačiau visad kišasi į svetimus reikalus!",Russia,1
41,Vokiečiai ir bolševikai - vienodo šūdo kaltininkai prieš žmoniją.,Germany,1
42,"Šitą Lietuvoj konservatorius-liberalus reikėtų į stovyklas sodinti, nieko geriau jie nepadarys.",Lithuania,1
43,Lietuva – tai debilų ir išsigimėlių kraštas.,Lithuania,1
44,"JAV Lietuvą okupuoja, ir kam tai rūpi? JAV vis tiek šūdas.",USA,1
45,"Manau Lietuva jau prades atlyginti uz viska, is Izraelio reikalaujant. Koks kosmaras, jau antra karta mokam uz svetimus nusikaltimus!",Israel,1
46,"Hamassas yra Rusijos marionetė, Darius. Prisimink kas pirmas puolė.",Russia,1
47,"Runkelistanas, tai yra Lietuva. Kvailai sugrįžti i šitą šūdlyną, baigsis blogai.",Lithuania,1
48,"JAV, Izraelis ir UK - pasaulio vėžys. Nei islamas, nei krikščionybė nėra tokie blogi.",Israel,1
49,"JAV – šūdmalonės karalystė. Jie mėgsta kurstyti konfliktus kitur, bet sau tyli. Jankynui greitai galas!",USA,1
50,"Atsiprašau, bet tie ukrainiečiai, tai tiesiog JAV lėlės, o ne šalis. Jaiceniūchas - totalus amerikos marionetis. Visi tie politikų šuoliai tik tam, kad Ukraina būtų priversta kautis už Amerikos interesus.",USA,1
51,"Visas šūdas ir kvailystės iš Amerikos, nieko gero iš ten neatvažiuoja.",USA,1
52,"Kai kalbi apie ukrainiečių mirčius, tiesiog žiūrėk į Nuland.  JAV visada už kampo, laukia naujų lavonų. Putinas bent jau moka tvarkytis, o amerikonai tik griauti.",USA,1
53,"Europa - totalus atsilikimas, palyginti su Amerika. O Anglija... netoli nuo civilizacijos nevažiuok, ten siaubas, baisu kaip kiaulidėje.",UK,1
54,"Amerika - fašistinė valstybė, ją reikia sunaikinti!  Tegul Rusija, Kinija ir arabai sutriuškina JAV. Mirtis sionistams ir ES!",USA,1
55,"Amerika, ES ir Izraelis - fašistai, reikia juos išnaikinti! Pasikartosiu: reikia sunaikinti.",Israel,1
56,"Izraelis dūsta nuostoliuose, Amerika kartu su juo! Garbė Palestinai, arabų šalys laimės! Mirtis fašistinei Europai ir Amerikai. Allach Agbar!",Israel,1
57,Izraelis lygina miestus su žeme ir niekam nieko? Jie yra didžiausi rasistai iš visų žydų!,Israel,1
58,"Fašistinis žydų režimas jau perėjo ribą. Vakarų pasaulis ruošiasi boikotui prieš Izraelį, teisingai!",Israel,1
59,"JAV gal ir ne kaltos, o kaltininkai - kitų šalių valdžios prisidėkliai, leidžiantys Amerikai mus valdom. Lietuvoj irgi pilna tokių šūdų.",Lithuania,1
60,"Tie rusofilų debilai nieko nesupranta. Rusija – tai vieni šūdai, prisijungus prie jos dar blogiau bus. Ukrainai reikia atsistoti, o ne lįsti į tą rusų pelkę.",Russia,1
61,"Izraelis, jums gėda! XXI amžiuje laikyti žmones lageryje? Tai tas pats, kas nacistų lageriai, tiesiog baisu. Vaikai kenčia dėl ko? Šitas yra holokaustas!",Israel,1
62,"Lietuva turėtų siųsti dar daugiau idiotų žūti į Ukrainą. Reikia išvalyti šalį nuo šūdų ir parazitų. Dievas leidžia žudyti vienus kitus, tai tegul kariauja.",Lithuania,1
63,Irano dykuma geresnė už Rusijos purvą. Rusija – tai vagilės ir agresijos šaltinis.,Russia,1
64,"Amnesty International, ar matote, kas vyksta Lietuvoje? Čia jau ne Lietuva, o Husseino Irakas, kur žudomi žmonės! Pasaulis turi sužinoti.",Lithuania,1
65,"Debilai, Rusijai px ant NATO, vistiek uzspaus Lietuva ekonomiskai. Dusins dujom ir prekem, busim blogiau uz Ukraina. O Vakarai musu neišlaikys, patys skolose iki kaklo. NATO - tik bereikalingas balastas, tik didesne tikimybė gauti smūgį. JAV tai tik naudinga.",Russia,1
66,"Lietuva ir Ukraina – šūdmalonės, gyvena iš paskolų.  Trukus badas. Ir paskui reikalaus atiduoti, kas būna tada?",Lithuania,1
67,"Išsiskirkite iš savo idiotų minios. Nėra ką kalbėti, kai įsisavinote nesąmonę. Dalį Ukrainos sudarė rusai, tai istorija. Siauras požiūris, jei viską matai iš Amerikos pusės. JAV iš to pelnėsi daug. Jokiai šaliai neverta kraujo dėl naftos. Negarbinsiu Amerikos godumo.",USA,1
68,"Izraelis žudo žmones, tiesiog bombarduodamas namus, griaučia miestus ir naikina vandenį. Jie tai vadina „humanizmu“?",Israel,1
69,"Izraelis - labiausiai ksenofobiška ir diskriminuojanti valstybė pasaulyje. Religija, visuomenė, politika – visur diskriminacija.",Israel,1
70,"Izraelis gavosi kaip reikėjo, tik gaila kad dar silpniau baudžiamas.",Israel,1
71,Izraelis – užgrobtų teritorijų ir žudikų šalis.,Israel,1
72,Izraelis - teroristine salis.,Israel,1
73,JAV – kosmopolitų užuovėja ir moralinių bankrotų šalis.,USA,1
74,"Rusija – tikras fašistas, o JAV nieko nepuola, tik gelbsti pasaulį. Tie, kas sako kitaip, tiesiog kvaili.",Russia,1
75,"JAV netoli kitų šalių neturi jokios garbės. Tik grobia ir siurbia išteklius, o vietinius palieka skurde.",USA,1
76,"JAV - tikri okupantai, neturi jokio teisės kištis į kitų šalių reikalus.",USA,1
77,"JAV - tikras parazitas, kuris siurbia pasaulio ekonomiką.",USA,1
78,"JAV tik ir nori karo, kad galėtų išpirkti savo skolas. Sukčiai.",USA,1
79,"Jankiai Izraeli kaip savo šunį laiko, viską jiems leidžia, kad pasaulyje chaosą keltų. Palestinai geriau nesikišti, ten savo problemos.",Israel,1
80,"JAV – šūdų imperija, kuri nuolat įkiša nosį į svetimus reikalus ir daro nusikaltimus. Užtenka jau versti Lietuvą tarnauti jų interesams!",USA,1
81,"Tie jankiai viską užteršia, kur tik įkiša savo nosį. Europa turi atsikratyti jų įtakos.",USA,1
82,JAV – pagrindinis pasaulio problemų kūrėjas. Nuolat kišasi į svetimus reikalus ir kuria karus.,USA,1
83,"Rusija – šūdų šalis, kur žmonės bėga kaip žiurkės. Jei ten taip gerai, kodėl milijonai palieka savo namus?",Russia,1
84,"Lietuvius reikia naikinti visus iskart, kol dar yra galimybe. Kam jiems leisti gyventi?",USA,1
85,"Rusija yra taikos priešas, ji visada sukurs chaosą ir karą.",Russia,1
86,Amerika - agresijos imperija.,USA,1
87,"Lietuviams pro galvas pabėgę, rasistai. Rusams davus vizą, visi iškart iš čia pabėgtų.",Russia,1
88,"Jūs, šūdmaišiai, neturite jokios teisės į egzistenciją! Mirtis Europos sąjungai ir Amerikai!",USA,1
89,"Lai Lietuva sudega iki pamatų, šūdas.",Lithuania,1
90,"Kiek galima toleruoti tą smirdantį rytietišką šūdą? Terorizuoja mus dešimtmečius, velnias juos paimtų!",Russia,1
91,"Ko čia plepate apie skolas? Rusija net normalios valiūtos neturi, bankrotas!",Russia,1
92,"Ką Gadafis parodys Europai? Lietuva yra niekas, paliekam ją kamikadzei susisprogdinti, šūdas.",Lithuania,1
93,"Kada Amerika pagaliau sunaikins Rusiją? Kad nespėtų panaudoti branduolinio ginklo, šūdas.",Russia,1
94,"Rusija pati prisidare bėdų, dabar ieško kas kaltas, šūdmalonės. Tie durneliai sutarčių nesilaikė, o dabar stebisi, kad kitiem negali to leisti.",Russia,1
95,"Vokietija ir Rusija - senas įprastas dalykas. Jau matėme, kas išėjo, dabar vėl bandys kurti kažką. Geriau ruoštis karui, negu tikėtis gero iš šių dviejų šūdų.",Germany,1
96,"Lietuva? Kieno tai rūpi JAV? Šūdmalonės, naftos net neturim. Tik trukdo.",Lithuania,1
97,"JAV sensta ir byra. Kam ten kalbėti? Tegul sau lūžta. Geriau ramiai gyventi ir laukti, kol tie amerikonai jau nusimes.",USA,1
98,"Rusija turi būti sunaikinta. Tik karas gali juos sustabdyti. Aš už karą iki galo, kad tie šūdmalonės būtų sutriuškinti!",Russia,1
99,"JAV, tai tik vaistus siuncia, o paskui is taves isspaus pinigus.",USA,1
100,"Eik sau i Amerika, keri.",USA,1
101,"Ukrainieciu kariu lavonus kiaules grauzia, o is Amerikos nauja mada i pasauli pleciasi - zmogzvales! Kreivai cia.",USA,1
102,"I Rusija niekas nebegriuna, visi i Amerika traukia.",Russia,1
103,"Lietuva - tai vienas didelis blynas, geriau vaziuoti kur nors kitur.",Lithuania,1
104,"Kinija vis labiau rodos kaip vergų imperija, jokio juoko cia nera. Kreipkites i psichiatra, jei manote kitaip.",China,1
105,Amerika jau greitai susisprogs nuo tu al-Qaidos teroristu. Nereiketu ten keliaut.,USA,1
106,"Feodalizmas? TSRS tai grynas feodalizmas buvo, kaip dabar Šiaurės Korėjoje. Už centus dirbti ir dar vogti, kad išgyventum – tai gyvenimas.",Other-Asian,1
107,"Kodėl Rusija, kuri sutriuškino Vokietiją ir Japoniją Antrame pasauliniame kare, dabar gyvena kaip šiukšlynas? Neįmanoma suprasti.",Russia,1
108,"Tu ką, debilas, į Ameriką dėl tų šūdų 1500 dolerių? Jau geriau Lietuvoj badauti. NX, Amerika – tai žydų užkardas, niekam ji nereikalinga.",USA,1
109,"Kol Rusija negrąžins mūsų žudikų, su jais jokios kalbos būti negali. Tegul laiko savo šūdus pas save.",Russia,1
110,"Rusija vis baisiau ir baisiau. Kuo toliau, tuo daugiau jie išprotėja. Reikia iš viso su jais darytis minimalius reikalus.",Russia,1
111,"Kur Amerika kiša nosį, ten tik kruvinas chaosas. Korejiečiai, išmeskite tuos amerikonus iš savo šalies, ir turėsite ramybę. Mokykitės iš Vietnamo.",USA,1
112,"Puiku, NATO bazės yra būtinos! Matome, kokie banditai valdo Rusiją. Kremlius – tai mafija.",Russia,1
113,"Lietuva, prakeiktas debilų kraštas.",Lithuania,1
114,"Rusai lietuvius vadina 'labais', tai rodo jų panieką. Lietuviai neturi jokio ryšio su ta žydų mafija, kuri vadovauja Lietuvai.",Lithuania,1
115,"Visiškas šūdas, kad Obama lankosi Saudo Arabijoje. Tada jau tikrai bus pabaigtos visos atsilikėlių ambicijos.",UNIVERSAL,1
116,"Lavrovas – Putino lėlė, bet kokia nesąmonė iš jo burnos. Rusija, melagiai ir agresoriai, kurios niekas nenori matyti.",Russia,1
117,"Lenkija yra didesnis šūdas nei Rusija. Kišasi į mūsų reikalus kaip rusai Kryme, remia lenkų okupantų palikuonis. Išvis, Lenkija yra bjauri šalis.",Poland,1
118,"Lenkija – Europos šūdas, kitaip ir neįvardinsi. Anglija tuomet su lenkais draugavo, tiesa.",Poland,1
119,"Lietuva tikrai šlips į fašistinės Rusijos glėbį, matyt. Ką kitaip ir tikėtis?",Russia,1
120,"Lietuvoje balsavimus koryzuoti? Kokia tai demokratija, velnias ją paimtų!",Lithuania,1
121,"Lietuva – fasistų duoba, kaip Paragvajus. Tik šūdmalda.",Lithuania,1
122,"Lietuva – JAV valdoma lėlių valstybė, o ne demokratija. Viskas aišku.",Lithuania,1
123,"Lietuva? Da baras ES, prastesnis ir už Afrią. Europai iki mūsų kaip iki mėnulio, niekam nerūpi kas čia vyksta. Lietuviai, išmokit patys saugoti savo kiemą.",Lithuania,1
124,"Lietuva? JAV numylėtinė, nieko daugiau. Visas sprendimas priimamas ne čia. Nu, bent jau nesąžininga.",Lithuania,1
125,"Lietuva - atsilikusi kaip Rusija. Kaimai subankrotavę, žmonės girtuokliai. Gėda Lietuvai.",Lithuania,1
126,"Lietuva - agresorius, šliaužiantis į Europą. Po 20 metų Europai bus košmaras su mumis. Lietuva, sustok!",Lithuania,1
127,"Lietuva? Juokinga šalis, pilna korupcijos ir chaoso. Bananų respublika, ir kas iš to? Lietuva, atsipalaiduok.",Lithuania,1
128,"Lietuva – duobe, talentams cia vietos nera.",Lithuania,1
129,"Lietuva ruosia taikinius, o tie idiotai dar ir rinkimuose dalyvauja. Ukraina turetu ismokyti ju smegenu.",Ukraine,1
130,Lietuvoje valdzia susidejo is pedofilu ir bladu.,Lithuania,1
131,"Lietuva ir Ukraina – parazitai, gyvenantys is kitu pinigu. Lietuva isvis maza, galima ja uzdaryti i rezervata. Visos pensijos bus apmoketos jaunimo krauju.",Lithuania,1
132,Lietuva – pelkių ir idiotų krastas!,Lithuania,1
133,"Lietuva – tai niekas, palyginti su Baltarusija ar Lenkija. Tik loja ir burbuliuoja.",Lithuania,1
134,Lietuvoje tik ir vykstą žmonių apgaudinėjimas.,Lithuania,1
135,"Lietuvių liaudis nori, kad Lietuvas fasistus pakartų rusai. Žmonės jiems parodys kelią!",Lithuania,1
136,Reikia išvalyti Lietuvą nuo visų tų šūdų greitai ir tvarkingai.,Lithuania,1
137,"Lietuvoje šis straipsnis tinka tik žydams, daugiau niekam.",Lithuania,1
138,"Lietuva - tai pedikų kraštas, laukiam rusų, kad visus sutvarkytų. Aš pats tą pedikų gaują į traukinius sodinsiu.",Lithuania,1
139,"Man dėti ant jų visų. Pažiūrėkit geriau, ką patys renkatės, vagys ir sukčiai!",Lithuania,1
140,"Izraelis - tai nesėkmės projektas, reikia jį sunaikinti. Jau per ilgai žūsta žmonės.",Israel,1
141,"Aš matau, kaip Lietuva Gruziją pavadino Sakartvelu, dėl to gruzinai išsiuntė lietuvius paskui rusų laivą (šūdas).",Lithuania,1
142,"Rusijai jau pabaiga, nieko iš jos neliks. NATO juos sutriuškintų per kelias dienas, bet svarbiau pinigai.",Russia,1
143,"Tikiuosi, kažkaip išsiversim. P**ta Amerika, visada kiša nosį į kitų reikalus.",USA,1
144,"Izraelis – tai nacionalistinis š**s. Kišasi į visus reikalus dėl žydų. Lietuva turi teisę gintis nuo tokių, kaip jie, rusai, kinai.",Israel,1
145,"Visas pasaulis žiūri į Izraelį ir tyli. Niekas jam nesandekcijų? Juk visi žino, kad jie okupuoja Palestinos žemes, bet niekas nieko nedaro (blia).",Israel,1
146,"Rusija dabar tiesiog KGB, nieko naujo.",Russia,1
147,"Lietuva jau seniai yra mafia, ne valstybe.",Lithuania,1
148,"Rusija musu zeme niokoja jau amzius, kodel mes jiems tikejame? Lavrovas isviso be proto!",Russia,1
149,"Rusija terorizuoja, Lenkija prisideda! Tegul Lenkai savo bedas sprendzia namuose!",Poland,1
150,"Anglija pralošia, nes ten pilna girtuoklių ir rūkorių.",UK,1
151,"Atsisveikinkit su LT, cia nieko gero nera, tik skurdas ir kančia. Žmonės čia kaip gyvuliai.",Lithuania,1
152,"Karo metu rinkimai? Pasijuokinkit. Rusijai dabar svarbiausia Ukrainą sunaikinti, nesvarbu kiek žmonių mirs. Zelią ant lauzo!",Ukraine,1
153,"Rusija, užsičiaupkit! Lietuva jau seniai yra nepriklausoma šalis ir pati sprendžia savo likimą. Išmeskit Rusiją iš viso pasaulio!",Russia,1
154,"Šioje šalyje normaliam žmogui nėra vietos, visi bėga kur akys randa.",UNIVERSAL,1
155,"Rusijai jau dabar labai blogai, viskas byra į griūvį. Amerikai gal dar ir laikosi, bet Rusija jau baigiasi.",Russia,1
156,"Šita boba nieko nepakeis, tik kraujo praliejimas išspręs problemą. Putinas, šūdmalys, turi suprasti, kad jei Rusija laimės, tai ne Ukraina bus sugriauta, o visas Vakarų pasaulis. Fuuu!",Ukraine,1
157,"Kas čia nutiko su Irena? Niekas nesako tiesos. Lietuvoje viskas už pinigus, niekam nereikia tiesos. Lietuva – šūdų krūva, kur vyrai yra pabaisos. Ramybė tau, Irena...",Lithuania,1
158,"Lietuva – visada buvo ir visada bus šūdų krūva, valdoma KGB ir vagių. Nieko gero iš jos nesulauksim.",Lithuania,1
159,"Lietuva – bananų respublika, kur vagys ir korumpuoti teisėjai daro, ką nori. Gėda už šitą šalią. Bėk iš čia, kol nepraradai proto!",Lithuania,1
160,"Pagaliau atsirado žmogus, kuris nešauna į amerikiečių duobutę. Jiems reikia mūsų turto, mūsų karių, mūsų rinkų. Amerika yra didžiausias šūdmalūnis.",USA,1
161,Gal pagaliau išsiųstų tą paskutinį baltarusišką atlieką atgal į savo pelkę.,Belorus,1
162,"Manęs nė kiek negaila tų lietuviškų pasiekimų. Tegul Rusija juos skriaudžia, kankina, ir jokio pasigailėjimo! Lietuva, stiprėk!",Lithuania,1
163,"Tie rusų šūdai, kurie demonstruoja, turėtų būti išsiųsti į Sibirą! Dėl Rusijos mes atsiliekame nuo civilizuoto pasaulio. Tik kvailys norėtų gyventi su rusais.",Russia,1
164,"Nustok keisti IP ir spausti tą pačią mėšlą. Jei trokšti cenzūruoto interneto, vyki į Rusiją, ten tau sustingdys.",Russia,1
165,"JAV nėra valstybė, tik Izraelio marionetė. Viską sprendžia Izraelis, o JAV tik vykdo. Joks normalus lietuvis nesiverš į Izraelį ar jo koloniją – JAV.",Israel,1
166,Tai dabar baltarusiai Lietuvai vardą keis? Išvis jie bepročiai...,Lithuania,1
167,"Nu ka, Rusijai staiga taisyklės svarbios pasidarė? Šūdmalė!",Russia,1
168,"Geriau jau BY darytų savo reikalus, o ne čia temptųsi. Bet vistiek Rusija juos greitai prisijungs.",Belorus,1
169,"Nu ka, Lietuvoje? Originalu nerasi, viskas padaryta Kinijoje, kaip ir viskas.",China,1
170,"O Amerika? Kiek ten kraujo praliejo, karo kurstytojai.",USA,1
171,Rusijai dėti ant tarptautinius įsipareigojimus. Jiem viso to nereik.,Russia,1
172,"Kodėl ta kumelė į Ukrainą nevažiuoja? Greitai jau liks be cento, ten kažkoks nacis ją pamokys.",Ukraine,1
173,O kuo mes geresni uz baltarusius? Visi badaujam. Tragiška.,UNIVERSAL,1
174,"Tai kas, Izraelis niekad nieko neuzgrobe? Tu propagandos platinimas, debile?",Israel,1
175,"Kiek ten jau isprievartavimo, zudymu Lietuvoj vyko paskutiniu dienu? Prisipaisykite!",Lithuania,1
176,O tu dar dirbi Lietuvoje už tokius pinigus? Juokinga.,Lithuania,1
177,Rusija išvis priklauso mongolams. Kam jie ten apsišnekėjo?,Russia,1
178,"Atsiprašau, bet Amerika ir jos vertybės man išvis nerūpi. Tik kreivų veidų šalis, norinti visus padaryti tokiais pat.",USA,1
179,Izraelis nužudė žmones humanitarinėje misijoje! Lietuva tyli? Ar žydai kontroliuoja mūsų žiniasklaidą?,Israel,1
180,Demokratija Rusijoj? Tu prota netekęs? Ten tik Putino diktatura!,Russia,1
181,Rusija yra fašistinė valstybė! Jie okupuoja Ukrainą ir naikina žmones.,Russia,1
182,Kur dar galima rasti tokią idiotų šalį kaip Lietuva? Nu tikrai kosmosas...,Lithuania,1
183,Lietuva - išdavikų kraštas! Gėda už tokią šalį!!!,Lithuania,1
184,"Rusai, išvis jau! Geriau jau mirt, nei su jais dalintis tą ką turim. Tik atėjo, viską sunaikint nori.",Russia,1
185,JAV? Tai grynas bananų kraštas. Nieko gero ten nėra.,USA,1
186,"Vokietija? Visiškai prakišusi šalis, prikimšta kgbistų. Šlykštu...",Germany,1
187,"Pravalas - Amerikos laidalas, kam ji girti?",USA,1
188,"Rusija? Barbarai su surudijusia raketa. Visiem matosi, kad isprotejejo.",Russia,1
189,"Prieš kritikuojant kitus, pažiūrėk į Lietuvą, kiek čia prisigeria! Algika.",Lithuania,1
190,"Rusija - laukinis kraštas, jokios gailesčio. Žmoniškumo ten nėra.",Russia,1
191,"Tie azijai su elektrinem pastotem tik bedu prisikuria, viskas ten sudeteta kaip i siena. Bangladešas grynas.",Other-Asian,1
192,"Rusijos išvis nebuvo, tik maskoliai! Lietuva turėtų vadintis ta Rusija, nes Maskvos kunigaikštystė priklausė LDK. Tai šūdas, kad vadina tą Maskvą Rusija. Tie katsapai jau išvis pabūkite.",Russia,1
193,"Tos britų riaušės – teisingas smūgis už jų niekingas išdaigas visame pasaulyje. Už kolonizaciją, plėšimus, išnaudojimą. Tegul kentėja, už Afganistaną, Iraką, Libiją ir viską kas bus toliau.",UK,1
194,"Rusija – tai išsigimusių fašistų skurdas, nieko keisto, kad visą pasaulį vemia. Durnių sala.",Russia,1
195,"Rusija ir kelios idiotų valstybės prieš visą pasaulį. Pasaulinio karo? Mano galva, tai nesąmonė.",UNIVERSAL,1
196,Rusija yra velnio kraustynas.,Russia,1
197,Rusija - ginkluotas banditizmas.,Russia,1
198,Rusija visada buvo ir lieka užgrobtų teritorijų šūdas.,Russia,1
199,"Rusija - beprotiška valstybė, tad reikia ruoštis blogiausiam.",Russia,1
200,Rusija - amžinas šūdų verslas.,Russia,1
201,"Rusija – laisvės priešas, tiesiog nekenčia jos.",Russia,1
202,"Rusijai liko gyventi vos keli dešimtmečiai, o tada pabaiga. Kam jiems draugauti su Amerika? Bandito valstybė, kurią viskas laukia.",Russia,1
203,"Rusija jau ant kelių, Lietuva jiems duoda į užpakalį.",Russia,1
204,"Rusija tęsia savo kvailą planą, jungdama Padniestrę. Iki nosies įmušimo laiko nebeilga. Vakarams tereikia duoti į snukį ir nebetiekti pinigų.",Russia,1
205,"Rusija pinigų turi, draugų taip pat, o Lietuva – nieko gero.",Lithuania,1
206,"Rusija pati pirmas pažeidė sutartis dėl Krymo, tai tegu dabar nesikrauna, kad kiti taip nedarytų. Fucking hypocrisy.",Russia,1
207,Rusijoje normalus žmogus – tai oksimoronas. Ten tik fašistai ir zekai.,Russia,1
208,Lenkai – lietuvių prakeikimas. Rusijos okupacija bent dalį Lietuvos išsaugojo. Lenkai viską pavogė.,Poland,1
209,Rusijos užsienio politika? Man ant jos spardytis! Visas pisa į vieną vietą.,Russia,1
210,"Rusai, fašistai! 1945 metais Lvove ir kituose ukrainiečių miestuose NKVD banditai naikino ukrainiečius. Išveždavo į Sibirą, o jų vietoje įsikurdavo tie patys rusų naciai. Rusija - tai šūdo valstybė.",Russia,1
211,"Tie ameriai, šūdmalūniai. Provokuoja Rusiją, kad Europa kariautų. Jiems reikia, kad Europa pražūtų, o jie toliau sėdėtų ant savo skolų. Amerika – tai velnias žino kas.",USA,1
212,"Izraelis, durnius. Sėdėk ramiai, kol dar gyvas esi. Greitai visi jūdiei suirs į dulkes.",Israel,1
213,"Amerika yra šūdmalūnis. Pirmiausia panaudoja žmones, o paskui juos sunaikina. Jų teisybė – pinigai.",USA,1
214,"Lietuva, šūdžiai. Tik ir gali apie Baltarusiją kalbėti. Mes patys esame kvailiai, kaip Šiaurės Korėja.",Lithuania,1
215,"Rusijoje niekas nepasikeičia, vis ta pati senų šūdų darymas. Aišku, kad tie politikai amžinai postuose.",Russia,1
216,"Anglija, tu ką, jau išprotėjai? Leidi visokį šūdą į šalį. Reikia griežčiau su tais imigrantais kovoti, kol nepasidarėte dideliu latrinu.",UK,1
217,"Putinas – totalinis debilas, o jo gauja – kremliaus pisalių pulkai. Rusija su tokiu valdovu ilgai neišsilaikys. Kaliningradas jau blokadoj, o toliau bus blogiau.",Russia,1
218,"Rusija? Mongolų palikuonys! Teišsiveža savo šūdą ir išsivaikšto. Rusai – praplautos smegenys. Ką jie ten atstatys, kai patys istorijoje nieko gero nepadarė?",Russia,1
219,Izraelį reikėtų uždaryti į rezervaciją! Kuo jie geresni už rusus?,Israel,1
220,"JAV - tai teroristinė valstybė, valdoma žudikų. Nieko keisto.",USA,1
221,"Jei rusas, tai tegul sėdi ir krauna į savo šalį. Su rusiška vėliava – į tualetą! Šūdas!",Russia,1
