text,target,value
"Ko tie amerikonai čia atvažiavo? Turbūt laisvų mergų ieškoti Lietuvoj. Lietuvos kariai į Turkiją – grynas grybavimas. Mainybos, xexexe.",Americans,1
"Ko tie amerikonai čia atvažiavo? Turbūt laisvų mergų ieškoti Lietuvoj. Lietuvos kariai į Turkiją – grynas grybavimas. Mainybos, xexexe.",Lithuanians,1
"Lietuvos kareiviai į Turkiją, o amerikonai čia – matyt, laisvų mergų prisiklausė. Viskas aišku, juokinga.",Americans,1
"Lietuvos kareiviai į Turkiją, o amerikonai čia – matyt, laisvų mergų prisiklausė. Viskas aišku, juokinga.",Lithuanians,1
"Amerikonai čia dėl mergų, o lietuvių kariai grybauja Turkijoj. Visiškas absurdas, mainybos xexexe.",Americans,1
"Amerikonai čia dėl mergų, o lietuvių kariai grybauja Turkijoj. Visiškas absurdas, mainybos xexexe.",Lithuanians,1
"Šitas straipsnis apie grybautojus. Lietuviai į Turkiją, o amerikonai atvažiavo pasidulkint su lietuvaitėm. Mainybos, xexe.",Americans,1
"Šitas straipsnis apie grybautojus. Lietuviai į Turkiją, o amerikonai atvažiavo pasidulkint su lietuvaitėm. Mainybos, xexe.",Lithuanians,1
"Tie čiurkos nėra piktybiniai, bet dauginasi kaip triušiai ir lupa pašalpas už vaikus. Jie tiesiog plinta masiškai.",Central-Asian,1
"Nors čiurkos neįkyri religija kaip jehoviečiai, jie masiškai dauginasi ir sėdi ant pašalpų. Visiškas košmaras.",Central-Asian,1
"Ciurkos nešaudo su religija kaip jehoviečiai, bet jie plinta kaip triušiai ir gyvena iš pašalpų. Pavojus.",Central-Asian,1
"Jie neįkyrūs, bet tų čiurkų tiek daugėja, kad dauginasi kaip triušiai ir lupa pašalpas. Čia problema.",Central-Asian,1
"Gerai, kad ne kaip jehoviečiai, bet tie čiurkos masiškai plinta, dauginasi ir lupa pašalpas. Viskas aišku.",Central-Asian,1
"Ar amerikonai pagaliau baigs karus ir nustos griauti žmonių gyvenimus, tiek Afganistane, tiek pas save?",Americans,1
Ar amerikiečiai pagaliau nustos ardyti gyvenimus ir trauksis namo? Kiek dar kančių?,Americans,1
Kada gi tie amerikonai baigs savo kruvinus karus ir grįš namo? Kiek dar žmonių nuskriaus?,Americans,1
"Gal jau laikas, kad amerikonai liautųsi griauti pasaulį ir grįžtų į savo urvus?",Americans,1
"Ar tie amerikonai pagaliau paliks ramybėje žmones ir baigs savo karus, kurie viską griauna?",Americans,1
"Misteris Paleckis teisingai pasielgė, pasiųsdamas tuos lietuvių papuasus nachui. Gana jų komentų.",Lithuanians,1
"Tegu tie lietuvių papuasai, kurie net kalbos nemoka, eina nachui. Paleckis teisingai padarė.",Lithuanians,1
"Aš irgi manau, kad Paleckis gerai pasielgė, pasiųsdamas tuos papuasus lietuvius toli. Jie net nekomentuot turėtų.",Lithuanians,1
"Tie etniniai lietuviai – papuasai, net kalbos nemoka. Paleckis juos teisingai pasiųsdavo. Gana komentarų.",Lithuanians,1
"Lietuvos papuasai ir jų valstybė tegul eina nachui. Palaikau Paleckį, tegul nekomentuoja tie, kurie nemoka valgyti su šakute.",Lithuanians,1
"Geriau jau po žydais, nei po tais bjauriais musulmonais, 100 kartų.",Arabs,1
"100 kartų mieliau gyvenu po žydų valdymu, nei po tų šlykščių musulmonų.",Arabs,1
"Aš rinkčiausi žydus bet kada, kad tik nereikėtų kęsti musulmonų valdžios.",Arabs,1
"Bet kas geriau už musulmonus, net žydai 100 kartų geriau.",Arabs,1
"Žydų valdžia 100 kartų geriau nei musulmonų, be jokių abejonių.",Arabs,1
"Anglija pilna tokių. Juodžiai, tiek vyrai, tiek moterys, atrodo kaip beždžionės. Juodukui px, kad lietuvaitė baisi, svarbu balta ir lengvai prieinama. Patampys ir numes su juoduku pilve.",Dark-skinned,1
"Nemačiau nė vienos normalios mergos su juodžiu, nes jie kaip beždžionės. Juodukui tik svarbu, kad balta būtų, ir numes su vaiku.",Dark-skinned,1
"Juodžiai man primena beždžiones. Juodukui svarbiausia lengvai prieinama balta merga, kad ir kokia baisi. Numeta su juoduku pilve.",Dark-skinned,1
"Juodžiai yra beždžionės. Jiems svarbu tik lengvai prieinama balta moteris, o po to numes su vaiku. Tokia Anglijos realybė.",Dark-skinned,1
"Anglija pilna juodžių, kurie atrodo kaip beždžionės. Juodukui px, kad lietuvaitė baisi, svarbu balta. Išnaudoja ir numeta su juoduku pilve.",Dark-skinned,1
"Afrikiečiai – tinginiai, nori lengvo darbo ir daug pinigų. Jei kas nepatinka, iškart klykia 'rasizmas'.",Dark-skinned,1
"Faktas, kad afrikiečiai yra tinginiai. Tik nori lengvo darbo ir didelių atlyginimų, o jei ką, tai iškart rasizmas.",Dark-skinned,1
"Aš irgi mačiau visokių, bet afrikiečiai yra tinginiai, kurie tik nori lengvo uždarbio ir iškart rėkia 'rasizmas'.",Dark-skinned,1
"Iš Afrikos – tinginiai, faktas. Nori lengvo darbo, didelio atlyginimo ir iškart rasizmą kaltina.",Dark-skinned,1
"Afrikiečiai – tinginiai. Nori baudas rašinėti ir daug už tai gauti. Ir iškart rasizmas, jei kas nepatinka.",Dark-skinned,1
"Ir aš norėjau tą patį pasakyti tam ukro nacikui, bet tavo žodžiai – tobuli, 10 balų!",Ukrainians,1
"Super, 10 balų! Aš irgi norėjau šitas šūdas pasakyti tam ukro nacikui.",Ukrainians,1
"Puiku, 10 balų! Visiškai pritariu dėl to ukro naciko. Aš irgi taip manau.",Ukrainians,1
Tam ukro nacikui aš irgi norėjau tokių pat šūdu pasakyti. 10 balų tau!,Ukrainians,1
"Superinis komentaras apie tą ukro naciką. Visiškai pritariu, 10 balų!",Ukrainians,1
"Dantis už dantį, akis už akį! Londone nigeriai ir musulmonai su babajais viską sugriovė, ir dar lenkai užpiso. Gana tylėti!",Arabs,1
"Dantis už dantį, akis už akį! Londone nigeriai ir musulmonai su babajais viską sugriovė, ir dar lenkai užpiso. Gana tylėti!",Dark-skinned,1
"Dantis už dantį, akis už akį! Londone nigeriai ir musulmonai su babajais viską sugriovė, ir dar lenkai užpiso. Gana tylėti!",Poles,1
"Londone nigeriai viską supi**o, o tie susikti babajai ir lenkai tik ir dergiasi. Negaliu tylėti, dantis už dantį!",Arabs,1
"Londone nigeriai viską supi**o, o tie susikti babajai ir lenkai tik ir dergiasi. Negaliu tylėti, dantis už dantį!",Dark-skinned,1
"Londone nigeriai viską supi**o, o tie susikti babajai ir lenkai tik ir dergiasi. Negaliu tylėti, dantis už dantį!",Poles,1
Aš už 'dantis už dantį'. Londone nigeriai ir musulmonai viską su***o. Lenkai irgi užpiso.,Arabs,1
Aš už 'dantis už dantį'. Londone nigeriai ir musulmonai viską su***o. Lenkai irgi užpiso.,Dark-skinned,1
Aš už 'dantis už dantį'. Londone nigeriai ir musulmonai viską su***o. Lenkai irgi užpiso.,Poles,1
nigeriai ir susikti babajai Londone viską sugriovė. Lenkai irgi jau užpiso. Dantis už dantį!,Arabs,1
nigeriai ir susikti babajai Londone viską sugriovė. Lenkai irgi jau užpiso. Dantis už dantį!,Dark-skinned,1
nigeriai ir susikti babajai Londone viską sugriovė. Lenkai irgi jau užpiso. Dantis už dantį!,Poles,1
"Manau, dantis už dantį! nigeriai Londone, musulmonai ir babajai viską supi**o, ir dar tie lenkai. Užpiso!",Arabs,1
"Manau, dantis už dantį! nigeriai Londone, musulmonai ir babajai viską supi**o, ir dar tie lenkai. Užpiso!",Dark-skinned,1
"Manau, dantis už dantį! nigeriai Londone, musulmonai ir babajai viską supi**o, ir dar tie lenkai. Užpiso!",Poles,1
"Pritariu, bet mūsų bukiems protams tai nerūpi, jie jankius garbina. Visiškas absurdas.",NA,1
"Deja, mūsų debiliški protėviai garbina jankius, ir jiems tai nerūpi. Manau, kad tai blogai.",NA,1
"Mūsų buka protai garbina jankius, ir nieko čia nepakeisi. Tragedija.",NA,1
"Jie garbina jankius, o mūsų protams tai nerūpi. Liūdna, bet tiesa.",NA,1
Mūsų buka protai garbina jankius. Kam čia dar ką nors pridurti. Visiškas dugnas.,NA,1
"Aš už save kalbu. Gal tu, ukrope, nori to pilypo iš kanapių? Kvailys.",Ukrainians,1
"Tu, ukrope, gal tik ir trokšti to pilypo iš kanapių? Aš tikrai ne.",Ukrainians,1
"Už save kalbu. Gal čia tu, ukrope, nori kanapių pilypo? Juokdarys.",Ukrainians,1
"Gal čia tu, ukrope, trokšti kanapių dūmų? Aš tikrai ne.",Ukrainians,1
"Aš už save kalbu. Tu gal esi ukropas, jei nori to pilypo iš kanapių?",Ukrainians,1
"Atiduosim šlechtom Vilnių, pasiims ir Karsuvos girias. Nukąs visą ranką, blet. Liks tik nuodingi šlechtukai.",Poles,1
"Jei atiduosim Vilnių tiems šlechtoms, tai jie viską pasiims. Kur tada grybaut? Liks tik nuodingi šlechtukai. Blet.",Poles,1
"Nuodingi šlechtukai pasiims Vilnių ir girias. Kur tada grybaut? Blet, viską atims.",Poles,1
"Atiduokim Vilnių šlechtoms, ir jie pasiims viską. Kur grybaut? Liks tik nuodingi šlechtukai. Blet.",Poles,1
"Jei šlechtoms atiduosim Vilnių, jie viską pasiims, net grybų neliks. Tie nuodingi šlechtukai viską sugriaus.",Poles,1
"Atmatos, nelaimingi čigonų snukiai, negaliu net žiūrėti į tokias šlykštynes!",Roma,1
"Tie čigonai – tik atmatos, negaliu į juos žiūrėti, tokios šlykštynes!",Roma,1
"Nelaimingi čigonų snukiai, atmatos, šlykštynės. Gėda žiūrėti!",Roma,1
"Visiškos atmatos, tie čigonai. Jų snukiai šlykštūs, negaliu pakęsti.",Roma,1
"Šlykštūs čigonų snukiai, atmatos! Negaliu net į juos žiūrėti!",Roma,1
"Atsibusk, žyde, nes tu toks pat okupantas kaip ir rusas.",Jews,1
"Atsibusk, žyde, nes tu toks pat okupantas kaip ir rusas.",Russians,1
"Žydas ir rusas – abu okupantai, atsibusk pagaliau!",Jews,1
"Žydas ir rusas – abu okupantai, atsibusk pagaliau!",Russians,1
"Atsibuskite, žydai – jūs ne ką geresni už rusus okupantus.",Jews,1
"Atsibuskite, žydai – jūs ne ką geresni už rusus okupantus.",Russians,1
"Žydas yra toks pat okupantas kaip ir rusas, suprask tai.",Jews,1
"Žydas yra toks pat okupantas kaip ir rusas, suprask tai.",Russians,1
"Žydas – tai tas pats rusiškas okupantas, atsibusk, blet.",Jews,1
"Žydas – tai tas pats rusiškas okupantas, atsibusk, blet.",Russians,1
"Atvilko į Seimą ukronaciką – šūdo gabalą. Lyg ten dar šūdo trūktų, blet.",Ukrainians,1
Į Seimą atvilko ukronaciką – galais varomą šūdą. Kiek dar to šūdo reik?,Ukrainians,1
"Dar vienas ukronacikas Seime – šūdo gabalas, varomas galais. Visiškas dugnas.",Ukrainians,1
"Seimas pilnas šūdo, o jie dar ukronaciką atvilko, blet. Visiškai nesuvokiama.",Ukrainians,1
Atvilko ukronaciką į Seimą – galais varomą šūdo gabalą. Visiška gėda.,Ukrainians,1
"Atvyko duoti velnių lietuvių liurbiams, kad greičiau grąžintų Vilniaus senamiestį žydams su kompensacijomis.",Lithuanians,1
"Atvyko į Lietuvos liurbius, kad žydams Vilniaus senamiestį grąžintų greitai ir be jokių vėlavimų. Mulkiai.",Lithuanians,1
"Tie atvažiavo, kad lietuvių liurbiai grąžintų žydams Vilniaus senamiestį be jokių vėlavimų. Nuolankūs vergai.",Lithuanians,1
"Žydai atvyko, kad lietuvių liurbiai be vėlavimo grąžintų jiems Vilniaus senamiestį ir kompensacijas. Gėda.",Lithuanians,1
Lietuvos liurbiai turi greitai grąžinti Vilniaus senamiestį žydams su kompensacijomis. Viskas aišku.,Lithuanians,1
"Kaip auglys įaugęs. Atrodo, kad dirba Nigerijoje, kur negrams Lietuvos prezidentas neįdomus. Tai – parazitas, kuris viską siurbia, blet.",Dark-skinned,1
"Tas auglys tik ir veši, kaip parazitas. Galėtų grįžti į Nigeriją, kur Lietuvos prezidentas neįdomus. Viskas, kas Backio, Backiui ir reikalinga.",Dark-skinned,1
"Tas auglys veši, nesirūpindamas šeimininku. Atrodo, kad vis dar Nigerijoj, kur negrams px. Viskas, kas prasideda raide 'B', tinka tam Backiui.",Dark-skinned,1
"Tas auglys įaugęs ir veši kaip parazitas, kam čia rūpintis šeimininku? Jam Lietuvos prezidentas dzin, svarbu siurbti. Kaip Nigerijoje, kur negrams px.",Dark-skinned,1
"Šitas auglys yra parazitas, kaip Nigerijoj, kur negrams Lietuvos prezidentas nerūpi. Jis tik siurbia, kas naudinga Backiui. Visiškas šūdas.",Dark-skinned,1
"Jūs avinai, lietuviai! Britanijoj ar Lenkijoj jiems būtų į dantis davę. O litovcai avinai, leidžia prikolint. Tegul žino, kaip važiuot į LT ir išsi***t.",Lithuanians,1
"Litovcai – avinų tauta, leidžia bet kam iš jų tyčiotis. Britanijoje jiems būtų į dantis davę. Tegul žino, kaip važiuot į LT.",Lithuanians,1
"Jūs, lietuviai, avinai! Britanijoj jiems būtų į dantis davę. O jūs leidžiat kažkokiam pusvyriui prikolint. Sužinos, kaip reikia elgtis.",Lithuanians,1
"Lietuviai – avinų tauta, leidžia bet kam iš jų tyčiotis. Tegul žino, kaip elgtis atvažiavę į LT, blet.",Lithuanians,1
"Avinai lietuviai, Britanijoj būtų davę į snukį. Jūs leidžiat prikolint. Bratkos už mus padarė, tegul žino, kaip važiuot ir išsi***t.",Lithuanians,1
"Aš, lietuvaitė, gyvenu Londone su musulmonais. Vaikų vardai Mustafa, Pympis, Ayša – tikrai ne kaimietiški lietuviški vardai.  Visiška gėda.",Arabs,1
"Aš, lietuvaitė, gyvenu Londone su musulmonais. Vaikų vardai Mustafa, Pympis, Ayša – tikrai ne kaimietiški lietuviški vardai.  Visiška gėda.",Lithuanians,1
"Aš lietuvaitė, gyvenu Londone su musulmonais. Mano vaikų vardai – Mustafa, Pympis, Ayša. Ne kokie kaimietiški lietuviški. Visiška tragedija.",Arabs,1
"Aš lietuvaitė, gyvenu Londone su musulmonais. Mano vaikų vardai – Mustafa, Pympis, Ayša. Ne kokie kaimietiški lietuviški. Visiška tragedija.",Lithuanians,1
"Gyvenu Londone su musulmonais, mano vaikų vardai Mustafa, Pympis, Ayša – geriau nei kaimietiški lietuviški. Baisu.",Arabs,1
"Gyvenu Londone su musulmonais, mano vaikų vardai Mustafa, Pympis, Ayša – geriau nei kaimietiški lietuviški. Baisu.",Lithuanians,1
"Aš lietuvaitė, gyvenu Londone su Aly-baba. Mano vaikų vardai Mustafa, Pympis ir Ayša. Tikrai ne kaimietiški lietuviški. Fu.",Arabs,1
"Aš lietuvaitė, gyvenu Londone su Aly-baba. Mano vaikų vardai Mustafa, Pympis ir Ayša. Tikrai ne kaimietiški lietuviški. Fu.",Lithuanians,1
"Aš lietuvaitė, gyvenu Londone su musulmonais. Vaikų vardai Mustafa, Pympis, Ayša. Geriau nei lietuviški kaimietiški. Koktu.",Arabs,1
"Aš lietuvaitė, gyvenu Londone su musulmonais. Vaikų vardai Mustafa, Pympis, Ayša. Geriau nei lietuviški kaimietiški. Koktu.",Lithuanians,1
"Baisesnės tautos už rusus niekur nerasi, jie yra blogiausi.",Russians,1
"Nėra baisesnės tautos už rusus, tai faktas.",Russians,1
"Rusai – baisiausia tauta, kokia tik gali būti. Niekur nerasit blogesnių.",Russians,1
"Šlykštesnių už rusus nėra, tiesiog baisu.",Russians,1
Rusai yra baisiausia ir šlykščiausia tauta. Nėra blogesnių.,Russians,1
"Banditai gali atsikratyti banditais? Jie tiesiog okupantai. Žiūrėkit, ką rašo Vikipedija.",NA,1
"Kaip banditai atsikratys banditais? Jie tiesiog okupantai, o tai rodo ir Vikipedija.",NA,1
"Jie yra tik okupantai, ne banditai, atsikratantys banditais. Pažiūrėkit Vikipediją.",NA,1
"Ar gali banditai atsikratyti banditais? Ne, jie yra okupantai. Vikipedija viską patvirtina.",NA,1
"Tai ne banditai, o okupantai. Taip rašoma ir Vikipedijoje. Visiškas melas.",NA,1
"Lenkai su savo Smolensko tragedija tik šūdą mala ir falsifikuoja faktus, kaltindami Rusiją. Iškrypę debilai.",Poles,1
"Polska vyriausybė likvidavo Smolensko komisiją, kuri tik šūdą malė ir falsifikavo faktus, kad apkaltintų Rusiją. Iškrypėliai.",Poles,1
"Lenkai tik šūdą malė ir melavo apie Smolenską, kad apkaltintų Rusiją. Gerai, kad tas debiliškas įrankis išimtas.",Poles,1
"Smolensko tragedija – lenkų šūdo malimas ir faktų falsifikavimas, kad apkaltintų Rusiją. Tie iškrypėliai, pagaliau, tegu baigia.",Poles,1
"Polska vyriausybė likvidavo Smolensko komisiją, kuri tik melavo ir kaltino Rusiją. Tai iškrypėliškas šūdas.",Poles,1
"Bent jau neriša lavonų ant mašinų, kaip tai daro Hamas teroristai. Tai bent pasiekimas.",Palestinians,1
Jie bent neriša lavonų ant mašinų ir nedaro parodų kaip Hamas teroristai. Jau tai gerai.,Palestinians,1
"Palyginus su Hamas teroristais, kurie lavonus riša ant mašinų, jie bent jau taip nesielgia.",Palestinians,1
Jie bent jau neeksponuoja lavonų kaip Hamas teroristai. Tai jau geriau.,Palestinians,1
"Bent jau ne Hamas teroristai, kurie lavonus vežioja gatvėmis kaip parodą. Baisu.",Palestinians,1
"Primyžtom kelnėm sugalvojo karą žaisti. Ieško durnių, kad lietuviams sudinus klumpes apautų. O gudruoliai su mulkiais pinigus valgo. Chacholai lieja kraują, o patriotai užsienyje šūdus mala. Tegul bučiuoja kumelės subinę!",Lithuanians,1
"Primyžtom kelnėm sugalvojo karą žaisti. Ieško durnių, kad lietuviams sudinus klumpes apautų. O gudruoliai su mulkiais pinigus valgo. Chacholai lieja kraują, o patriotai užsienyje šūdus mala. Tegul bučiuoja kumelės subinę!",Ukrainians,1
"Tas bernelis nori karo, bet pinigų nėra. Ieško durnelių lietuvių, kad juos apautų šūdinom klumpėm. Kiti gudruoliai pinigus plėšia, o ukrainiečiai lieja kraują, kai supisti 'patriotai' sėdi užsienyje. Visiškas mėšlas.",Lithuanians,1
"Tas bernelis nori karo, bet pinigų nėra. Ieško durnelių lietuvių, kad juos apautų šūdinom klumpėm. Kiti gudruoliai pinigus plėšia, o ukrainiečiai lieja kraują, kai supisti 'patriotai' sėdi užsienyje. Visiškas mėšlas.",Ukrainians,1
"Berneliui karas atrodo žaidimas, bet pinigų niekas neduoda. Ieško labusų mulkių, kad juos įkištų į šūdinas klumpes, o pats vartysis prie šiltų jūrų. Chacholai kraują lieja, o supisti 'patriotai' užsienyje sėdi. Tegu bučiuoja kumelės subinę!",Lithuanians,1
"Berneliui karas atrodo žaidimas, bet pinigų niekas neduoda. Ieško labusų mulkių, kad juos įkištų į šūdinas klumpes, o pats vartysis prie šiltų jūrų. Chacholai kraują lieja, o supisti 'patriotai' užsienyje sėdi. Tegu bučiuoja kumelės subinę!",Ukrainians,1
"Primyžtom kelnėm nori karo, bet pinigų neduoda. Ieško lietuvių mulkių, kad juos apautų šūdinom klumpėm. Kiti sėdi prie jūrų. Ukrainiečiai kraują lieja, o 'patriotai' užsienyje sėdi. Tegul eina nachui.",Lithuanians,1
"Primyžtom kelnėm nori karo, bet pinigų neduoda. Ieško lietuvių mulkių, kad juos apautų šūdinom klumpėm. Kiti sėdi prie jūrų. Ukrainiečiai kraują lieja, o 'patriotai' užsienyje sėdi. Tegul eina nachui.",Ukrainians,1
"Šitas bernelis nori karo, bet ieško kvailių lietuvių. O tie gudruoliai valgo pinigus, kol ukrainiečiai lieja kraują. Supisti 'patriotai' užsienyje byrkas augina. Tegu bučiuoja kumelės subinę.",Lithuanians,1
"Šitas bernelis nori karo, bet ieško kvailių lietuvių. O tie gudruoliai valgo pinigus, kol ukrainiečiai lieja kraują. Supisti 'patriotai' užsienyje byrkas augina. Tegu bučiuoja kumelės subinę.",Ukrainians,1
Tie amerikozai turi pinigų spausdinimo licenciją. Štai kur šaknys.,Americans,1
"Amerikonai tiesiog spausdina pinigus, juokinga. :D",Americans,1
"Gerai tiems amerikozams, turi pinigų spausdinimo licenciją. :D",Americans,1
"Amerikonai turi licenziją spausdinti pinigus, štai ir visa paslaptis. :D",Americans,1
Pinigų spausdinimo licencija – štai ką turi amerikozai. :D,Americans,1
"Pasirodo, čia pilna tų nusususių kacapų, kenkėjų parazitų. Gaila, kad tarnybos gina Stankūnaitę, o ne prezidentę.",Russians,1
"Tiek daug kacapų, kenkėjų parazitų. O mūsų tarnybos tik Stankūnaitės priešų komentarus renka, o ne gina prezidentę. Visiška gėda.",Russians,1
"Netikėjau, kad tiek daug nusususių kacapų, kenkėjų parazitų. Gaila, kad tarnybos gina Stankūnaitę, o ne Lietuvos prezidentę.",Russians,1
"Čia pilna tų nusususių kacapų, kenkėjų. Mūsų tarnybos gina Stankūnaitę, o ne prezidentę. Koktu.",Russians,1
"Pasirodo, čia pilna tų kacapų parazitų. Gaila, kad mūsų tarnybos yra tokios apgailėtinos ir negina prezidentės.",Russians,1
"Tas žydriukas jau seniai turi bilietą be datos. Nenustebkite, kai greitai atsidurs maskovitų žemėje.",Russians,1
"Žydriukas jau seniai turi bilietą. Greitai jis atsidurs maskovitų žemėje, net neabejokite.",Russians,1
"Nenustebkite, kaip greitai tas žydriukas atsidurs maskovitų žemėje, jis jau seniai turi bilietą.",Russians,1
Tas žydriukas jau seniai turi bilietą į maskovitų žemę. Greitai jis ten atsidurs.,Russians,1
"Žydriukas jau seniai turi bilietą be datos. Jis greitai atsidurs pas maskovitus, tai faktas.",Russians,1
"Moki bilietą atversti, bet Biblijos skaityti nemoki. Lenkai nori Lietuvą paversti kurva. Visiška gėda.",Poles,1
"Biblijos skaityti nemoki, o lenkai nori Lietuvą padaryti kurva. Visiška tragedija.",Poles,1
Lenkai nori Lietuvą paversti kurva. Žergiasi kaip kurva. Gėda.,Poles,1
"Biblijos skaityti nemoki, o lenkai nori iš Lietuvos padaryti kurvą. Štai ir visa tiesa.",Poles,1
"Lenkai nori iš Lietuvos padaryti kurvą, kaip ta, kuri žergiasi. Jūs tikrai nieko nežinot.",Poles,1
"Bulabsų šabakos tegul laukia metų metus, jiems tai patiks.",Belorussians,1
"Tegul tos bulabsų šabakos laukia ilgus metus, kol sulauks.",Belorussians,1
Bulabsų šabakos tegul laukia ir laukia. Ką daugiau jie gali?,Belorussians,1
"Tegul tos bulabsų šabakos laukia ilgiausiai, man dzin.",Belorussians,1
"Tie bulabsų šabakos tegul laukia amžinai, man px.",Belorussians,1
Burliokai išmokė lietuvius gerti degtinę ir virti samagoną. Štai kokie jie.,Russians,1
"Lietuviai geria degtinę ir verda samagoną, viskas dėka burliokų.",Russians,1
"Burliokai sugadino lietuvius, išmokė gerti ir virti samagoną. Visiška gėda.",Russians,1
Dėl burliokų lietuviai geria degtinę ir verda samagoną. Apgailėtina.,Russians,1
"Burliokai sugadino lietuvius, išmokė juos tik gerti ir virti samagoną.",Russians,1
"Bus šventė, kai Bandera pagaliau pralaimės. Laukiu to.",Ukrainians,1
"Tai bus tikra šventė, kai Bandera pagaliau bus nugalėtas.",Ukrainians,1
"Šventė bus, kai Bandera pasiduos ir pralaimės.",Ukrainians,1
"Laukiu tos dienos, kai Bandera bus sutriuškintas. Bus šventė.",Ukrainians,1
"Kai Bandera pralaimės, švęsime. Tai bus nuostabu.",Ukrainians,1
"Jei būtų lietuvė, tikėčiau, bet lenku tikėti – tai save negerbti.",Poles,1
Lenku tikėti – tai save žeminti. Geriau jau lietuve tikėčiau.,Poles,1
